Counter,Info,Signal type,Time (24h),SSID (BSSID),WiFi speed (Mbps),dBm,dBm average,Best signal,Percent:,Percent average,My Location latitude,My Location longitude
,Log date: 10/26/19
,Log start: 19:5:25
,Log interval: 1 seconds
,Device/Model: RMX1911
,Android: Version 9
,SSID (BSSID)SSID (BSSID): "TPLINK" (30:b5:c2:bb:f2:ca)
,MAC: 02:00:00:00:00:00
,WiFi speed: 72 MBit/s
,Encryption: [WPA2-PSK-CCMP][WPA-PSK-CCMP][ESS][WPS]
,Frequency (channel): 2452MHz * 9
,IP: 192.168.0.100
,External IP: null
,Netmask: 0.0.0.0
,Gateway: 192.168.0.1
,DHCP-Server: 192.168.0.1
,DNS1: 192.168.0.1
,DNS2: 0.0.0.0
1,,wifi,19:5:26,"TPLINK" (30:b5:c2:bb:f2:ca),72,-50,-50,-50,75%,75%,26.5129034,80.2321
2,,wifi,19:5:27,"TPLINK" (30:b5:c2:bb:f2:ca),72,-50,-50,-50,75%,75%,26.5129034,80.2321
3,,wifi,19:5:28,"TPLINK" (30:b5:c2:bb:f2:ca),72,-51,-50,-50,75%,75%,26.5129034,80.2321
4,,wifi,19:5:29,"TPLINK" (30:b5:c2:bb:f2:ca),72,-51,-50,-50,75%,75%,26.5129034,80.2321
5,,wifi,19:5:30,"TPLINK" (30:b5:c2:bb:f2:ca),72,-51,-50,-50,75%,75%,26.5129034,80.2321
6,,wifi,19:5:31,"TPLINK" (30:b5:c2:bb:f2:ca),72,-51,-50,-50,75%,75%,26.5129122,80.2321078
7,,wifi,19:5:32,"TPLINK" (30:b5:c2:bb:f2:ca),72,-51,-50,-50,75%,75%,26.5129122,80.2321078
8,,wifi,19:5:33,"TPLINK" (30:b5:c2:bb:f2:ca),72,-51,-50,-50,75%,75%,26.5129122,80.2321078
9,,wifi,19:5:34,"TPLINK" (30:b5:c2:bb:f2:ca),72,-51,-50,-50,75%,75%,26.5129122,80.2321078
10,,wifi,19:5:36,"TPLINK" (30:b5:c2:bb:f2:ca),72,-51,-50,-50,75%,75%,26.5129122,80.2321078
11,,wifi,19:5:37,"TPLINK" (30:b5:c2:bb:f2:ca),72,-51,-50,-50,75%,75%,26.5129122,80.2321078
12,,wifi,19:5:38,"TPLINK" (30:b5:c2:bb:f2:ca),72,-51,-50,-50,75%,75%,26.5129122,80.2321078
13,,wifi,19:5:39,"TPLINK" (30:b5:c2:bb:f2:ca),72,-51,-50,-50,75%,75%,26.5129116,80.2321087
14,,wifi,19:5:40,"TPLINK" (30:b5:c2:bb:f2:ca),72,-51,-50,-50,75%,75%,26.5129116,80.2321087
15,,wifi,19:5:41,"TPLINK" (30:b5:c2:bb:f2:ca),72,-51,-50,-50,75%,75%,26.5129116,80.2321087
16,,wifi,19:5:42,"TPLINK" (30:b5:c2:bb:f2:ca),72,-51,-50,-50,75%,75%,26.5129116,80.2321087
17,,wifi,19:5:43,"TPLINK" (30:b5:c2:bb:f2:ca),72,-52,-50,-50,73%,74%,26.5129116,80.2321087
18,,wifi,19:5:44,"TPLINK" (30:b5:c2:bb:f2:ca),72,-52,-51,-50,73%,74%,26.5129116,80.2321087
19,,wifi,19:5:45,"TPLINK" (30:b5:c2:bb:f2:ca),72,-52,-51,-50,73%,74%,26.5129116,80.2321087
20,,wifi,19:5:46,"TPLINK" (30:b5:c2:bb:f2:ca),72,-48,-50,-48,78%,74%,26.5129116,80.2321087
21,,wifi,19:5:47,"TPLINK" (30:b5:c2:bb:f2:ca),72,-48,-50,-48,78%,75%,26.5129116,80.2321087
22,,wifi,19:5:48,"TPLINK" (30:b5:c2:bb:f2:ca),72,-48,-50,-48,78%,75%,26.5129116,80.2321087
23,,wifi,19:5:49,"TPLINK" (30:b5:c2:bb:f2:ca),72,-49,-50,-48,78%,75%,26.5129116,80.2321087
24,,wifi,19:5:51,"TPLINK" (30:b5:c2:bb:f2:ca),72,-49,-50,-48,78%,75%,26.5129034,80.2321001
25,,wifi,19:5:52,"TPLINK" (30:b5:c2:bb:f2:ca),72,-49,-50,-48,78%,75%,26.5129034,80.2321001
26,,wifi,19:5:53,"TPLINK" (30:b5:c2:bb:f2:ca),72,-51,-50,-48,75%,75%,26.5129034,80.2321001
27,,wifi,19:5:54,"TPLINK" (30:b5:c2:bb:f2:ca),72,-51,-50,-48,75%,75%,26.5129034,80.2321001
28,,wifi,19:5:55,"TPLINK" (30:b5:c2:bb:f2:ca),72,-51,-50,-48,75%,75%,26.5129034,80.2321001
29,,wifi,19:5:56,"TPLINK" (30:b5:c2:bb:f2:ca),72,-51,-50,-48,75%,75%,26.5129034,80.2321001
30,,wifi,19:5:57,"TPLINK" (30:b5:c2:bb:f2:ca),72,-51,-50,-48,75%,75%,26.5129034,80.2321001
31,,wifi,19:5:58,"TPLINK" (30:b5:c2:bb:f2:ca),72,-53,-50,-48,73%,75%,26.5129034,80.2321001
32,,wifi,19:5:59,"TPLINK" (30:b5:c2:bb:f2:ca),72,-53,-50,-48,73%,75%,26.5129034,80.2321001
33,,wifi,19:6:0,"TPLINK" (30:b5:c2:bb:f2:ca),72,-53,-50,-48,73%,75%,26.5129034,80.2321001
34,,wifi,19:6:1,"TPLINK" (30:b5:c2:bb:f2:ca),72,-55,-50,-48,70%,75%,26.5129034,80.2321001
35,,wifi,19:6:2,"TPLINK" (30:b5:c2:bb:f2:ca),72,-54,-50,-48,70%,74%,26.5129034,80.2321001
36,,wifi,19:6:3,"TPLINK" (30:b5:c2:bb:f2:ca),72,-54,-51,-48,70%,74%,26.5129034,80.2321001
37,,wifi,19:6:5,"TPLINK" (30:b5:c2:bb:f2:ca),72,-51,-51,-48,75%,74%,26.5129129,80.2321077
38,,wifi,19:6:6,"TPLINK" (30:b5:c2:bb:f2:ca),72,-51,-51,-48,75%,74%,26.5129129,80.2321077
39,,wifi,19:6:7,"TPLINK" (30:b5:c2:bb:f2:ca),72,-51,-51,-48,75%,74%,26.5129129,80.2321077
40,,wifi,19:6:8,"TPLINK" (30:b5:c2:bb:f2:ca),72,-55,-51,-48,70%,74%,26.5129129,80.2321077
41,,wifi,19:6:9,"TPLINK" (30:b5:c2:bb:f2:ca),72,-55,-51,-48,70%,74%,26.5129129,80.2321077
42,,wifi,19:6:10,"TPLINK" (30:b5:c2:bb:f2:ca),72,-55,-51,-48,70%,74%,26.5129129,80.2321077
43,,wifi,19:6:11,"TPLINK" (30:b5:c2:bb:f2:ca),72,-56,-51,-48,68%,74%,26.5129129,80.2321077
44,,wifi,19:6:12,"TPLINK" (30:b5:c2:bb:f2:ca),72,-56,-51,-48,68%,74%,26.5129129,80.2321077
45,,wifi,19:6:13,"TPLINK" (30:b5:c2:bb:f2:ca),72,-56,-51,-48,68%,74%,26.5129129,80.2321077
46,,wifi,19:6:14,"TPLINK" (30:b5:c2:bb:f2:ca),72,-57,-51,-48,68%,73%,26.5129129,80.2321077
47,,wifi,19:6:15,"TPLINK" (30:b5:c2:bb:f2:ca),72,-57,-51,-48,68%,73%,26.5129129,80.2321077
48,,wifi,19:6:16,"TPLINK" (30:b5:c2:bb:f2:ca),72,-52,-51,-48,73%,73%,26.5129129,80.2321077
49,,wifi,19:6:17,"TPLINK" (30:b5:c2:bb:f2:ca),72,-54,-51,-48,70%,73%,26.5129124,80.2321088
50,,wifi,19:6:19,"TPLINK" (30:b5:c2:bb:f2:ca),72,-54,-51,-48,70%,73%,26.5129124,80.2321088
51,,wifi,19:6:20,"TPLINK" (30:b5:c2:bb:f2:ca),72,-53,-51,-48,73%,73%,26.5129124,80.2321088
52,,wifi,19:6:21,"TPLINK" (30:b5:c2:bb:f2:ca),72,-53,-52,-48,73%,73%,26.5129124,80.2321088
53,,wifi,19:6:22,"TPLINK" (30:b5:c2:bb:f2:ca),72,-53,-52,-48,73%,73%,26.5129124,80.2321088
54,,wifi,19:6:23,"TPLINK" (30:b5:c2:bb:f2:ca),72,-52,-52,-48,73%,73%,26.5129124,80.2321088
55,,wifi,19:6:24,"TPLINK" (30:b5:c2:bb:f2:ca),72,-52,-52,-48,73%,73%,26.5129124,80.2321088
56,,wifi,19:6:25,"TPLINK" (30:b5:c2:bb:f2:ca),72,-52,-52,-48,73%,73%,26.5129122,80.2321084
57,,wifi,19:6:26,"TPLINK" (30:b5:c2:bb:f2:ca),72,-52,-52,-48,73%,73%,26.5129122,80.2321084
58,,wifi,19:6:27,"TPLINK" (30:b5:c2:bb:f2:ca),72,-52,-52,-48,73%,73%,26.5129122,80.2321084
59,,wifi,19:6:28,"TPLINK" (30:b5:c2:bb:f2:ca),72,-53,-52,-48,73%,73%,26.5129122,80.2321084
60,,wifi,19:6:29,"TPLINK" (30:b5:c2:bb:f2:ca),72,-53,-52,-48,73%,73%,26.5129122,80.2321084
61,,wifi,19:6:30,"TPLINK" (30:b5:c2:bb:f2:ca),72,-53,-52,-48,73%,73%,26.5129122,80.2321084
