Counter,Info,Signal type,Time (24h),SSID (BSSID),WiFi speed (Mbps),dBm,dBm average,Best signal,Percent:,Percent average,My Location latitude,My Location longitude
,Log date: 10/26/19
,Log start: 17:33:2
,Log interval: 1 seconds
,Device/Model: RMX1911
,Android: Version 9
,SSID (BSSID)SSID (BSSID): "TPLINK" (30:b5:c2:bb:f2:ca)
,MAC: 02:00:00:00:00:00
,WiFi speed: 72 MBit/s
,Encryption: [WPA2-PSK-CCMP][WPA-PSK-CCMP][ESS][WPS]
,Frequency (channel): 2452MHz * 9
,IP: 192.168.0.100
,External IP: null
,Netmask: 0.0.0.0
,Gateway: 192.168.0.1
,DHCP-Server: 192.168.0.1
,DNS1: 192.168.0.1
,DNS2: 0.0.0.0
1,,wifi,17:33:3,"TPLINK" (30:b5:c2:bb:f2:ca),72,-56,-56,-56,68%,68%,26.5129021,80.2321017
2,,wifi,17:33:4,"TPLINK" (30:b5:c2:bb:f2:ca),72,-53,-54,-53,73%,70%,26.5129019,80.232086
3,,wifi,17:33:5,"TPLINK" (30:b5:c2:bb:f2:ca),72,-53,-54,-53,73%,71%,26.5129019,80.232086
4,,wifi,17:33:6,"TPLINK" (30:b5:c2:bb:f2:ca),72,-51,-53,-51,75%,72%,26.5129019,80.232086
5,,wifi,17:33:7,"TPLINK" (30:b5:c2:bb:f2:ca),72,-51,-52,-51,75%,72%,26.5129019,80.232086
6,,wifi,17:33:8,"TPLINK" (30:b5:c2:bb:f2:ca),72,-51,-52,-51,75%,73%,26.5129019,80.232086
7,,wifi,17:33:9,"TPLINK" (30:b5:c2:bb:f2:ca),72,-54,-52,-51,70%,72%,26.5129019,80.232086
8,,wifi,17:33:10,"TPLINK" (30:b5:c2:bb:f2:ca),72,-54,-52,-51,70%,72%,26.5129019,80.232086
9,,wifi,17:33:11,"TPLINK" (30:b5:c2:bb:f2:ca),72,-54,-53,-51,70%,72%,26.5129019,80.232086
10,,wifi,17:33:12,"TPLINK" (30:b5:c2:bb:f2:ca),72,-50,-52,-50,75%,72%,26.5129028,80.232096
11,,wifi,17:33:13,"TPLINK" (30:b5:c2:bb:f2:ca),72,-50,-52,-50,75%,72%,26.5129028,80.232096
12,,wifi,17:33:14,"TPLINK" (30:b5:c2:bb:f2:ca),72,-49,-52,-49,78%,73%,26.5129028,80.232096
13,,wifi,17:33:16,"TPLINK" (30:b5:c2:bb:f2:ca),72,-50,-52,-49,75%,73%,26.5129028,80.232096
14,,wifi,17:33:17,"TPLINK" (30:b5:c2:bb:f2:ca),72,-50,-51,-49,75%,73%,26.5129028,80.232096
15,,wifi,17:33:18,"TPLINK" (30:b5:c2:bb:f2:ca),72,-50,-51,-49,75%,73%,26.5129029,80.2320961
16,,wifi,17:33:19,"TPLINK" (30:b5:c2:bb:f2:ca),72,-51,-51,-49,75%,73%,26.5129029,80.2320961
17,,wifi,17:33:20,"TPLINK" (30:b5:c2:bb:f2:ca),72,-50,-51,-49,75%,73%,26.5129029,80.2320961
18,,wifi,17:33:21,"TPLINK" (30:b5:c2:bb:f2:ca),72,-50,-51,-49,75%,73%,26.5129029,80.2320961
19,,wifi,17:33:22,"TPLINK" (30:b5:c2:bb:f2:ca),72,-51,-51,-49,75%,73%,26.5129029,80.2320961
20,,wifi,17:33:23,"TPLINK" (30:b5:c2:bb:f2:ca),72,-51,-51,-49,75%,73%,26.5129028,80.2320964
21,,wifi,17:33:24,"TPLINK" (30:b5:c2:bb:f2:ca),72,-51,-51,-49,75%,73%,26.5129028,80.2320964
22,,wifi,17:33:25,"TPLINK" (30:b5:c2:bb:f2:ca),72,-51,-51,-49,75%,73%,26.5129028,80.2320964
23,,wifi,17:33:26,"TPLINK" (30:b5:c2:bb:f2:ca),72,-51,-51,-49,75%,74%,26.5129028,80.2320964
24,,wifi,17:33:27,"TPLINK" (30:b5:c2:bb:f2:ca),72,-51,-51,-49,75%,74%,26.5129028,80.2320964
25,,wifi,17:33:28,"TPLINK" (30:b5:c2:bb:f2:ca),72,-51,-51,-49,75%,74%,26.5129028,80.2320968
26,,wifi,17:33:29,"TPLINK" (30:b5:c2:bb:f2:ca),72,-53,-51,-49,73%,74%,26.5129028,80.2320968
27,,wifi,17:33:30,"TPLINK" (30:b5:c2:bb:f2:ca),72,-55,-51,-49,70%,73%,26.5129028,80.2320968
28,,wifi,17:33:31,"TPLINK" (30:b5:c2:bb:f2:ca),72,-55,-51,-49,70%,73%,26.5129028,80.2320968
29,,wifi,17:33:32,"TPLINK" (30:b5:c2:bb:f2:ca),72,-55,-51,-49,70%,73%,26.5129028,80.2320968
30,,wifi,17:33:33,"TPLINK" (30:b5:c2:bb:f2:ca),72,-56,-51,-49,68%,73%,26.5129028,80.2320968
31,,wifi,17:33:35,"TPLINK" (30:b5:c2:bb:f2:ca),72,-57,-52,-49,68%,73%,26.5129028,80.2320968
32,,wifi,17:33:36,"TPLINK" (30:b5:c2:bb:f2:ca),72,-57,-52,-49,68%,73%,26.5129028,80.2320968
33,,wifi,17:33:37,"TPLINK" (30:b5:c2:bb:f2:ca),72,-59,-52,-49,65%,72%,26.5129028,80.2320968
34,,wifi,17:33:38,"TPLINK" (30:b5:c2:bb:f2:ca),72,-59,-52,-49,65%,72%,26.5129028,80.2320968
35,,wifi,17:33:39,"TPLINK" (30:b5:c2:bb:f2:ca),72,-61,-52,-49,63%,72%,26.5129028,80.2320968
36,,wifi,17:33:40,"TPLINK" (30:b5:c2:bb:f2:ca),72,-61,-53,-49,63%,72%,26.5129028,80.2320968
37,,wifi,17:33:41,"TPLINK" (30:b5:c2:bb:f2:ca),72,-61,-53,-49,63%,71%,26.5129032,80.2320994
38,,wifi,17:33:42,"TPLINK" (30:b5:c2:bb:f2:ca),72,-61,-53,-49,63%,71%,26.5129032,80.2320994
39,,wifi,17:33:43,"TPLINK" (30:b5:c2:bb:f2:ca),72,-61,-53,-49,63%,71%,26.5129032,80.2320994
40,,wifi,17:33:44,"TPLINK" (30:b5:c2:bb:f2:ca),72,-60,-53,-49,63%,71%,26.5129032,80.2320994
41,,wifi,17:33:45,"TPLINK" (30:b5:c2:bb:f2:ca),72,-60,-54,-49,63%,70%,26.5129032,80.2320994
42,,wifi,17:33:46,"TPLINK" (30:b5:c2:bb:f2:ca),72,-60,-54,-49,63%,70%,26.5129032,80.2320994
43,,wifi,17:33:47,"TPLINK" (30:b5:c2:bb:f2:ca),72,-60,-54,-49,63%,70%,26.5129032,80.2320994
44,,wifi,17:33:49,"TPLINK" (30:b5:c2:bb:f2:ca),72,-57,-54,-49,68%,70%,26.5129028,80.2320987
45,,wifi,17:33:50,"TPLINK" (30:b5:c2:bb:f2:ca),72,-56,-54,-49,68%,70%,26.5129028,80.2320987
46,,wifi,17:33:51,"TPLINK" (30:b5:c2:bb:f2:ca),72,-56,-54,-49,68%,70%,26.5129028,80.2320987
47,,wifi,17:33:52,"TPLINK" (30:b5:c2:bb:f2:ca),72,-55,-54,-49,70%,70%,26.5129028,80.2320987
48,,wifi,17:33:53,"TPLINK" (30:b5:c2:bb:f2:ca),72,-55,-54,-49,70%,70%,26.5129028,80.2320987
49,,wifi,17:33:54,"TPLINK" (30:b5:c2:bb:f2:ca),72,-57,-54,-49,68%,70%,26.5129031,80.2320978
50,,wifi,17:33:55,"TPLINK" (30:b5:c2:bb:f2:ca),72,-57,-54,-49,68%,70%,26.5129031,80.2320978
51,,wifi,17:33:56,"TPLINK" (30:b5:c2:bb:f2:ca),72,-57,-54,-49,68%,70%,26.5129031,80.2320978
52,,wifi,17:33:57,"TPLINK" (30:b5:c2:bb:f2:ca),72,-57,-54,-49,68%,70%,26.5129031,80.2320978
53,,wifi,17:33:58,"TPLINK" (30:b5:c2:bb:f2:ca),72,-56,-54,-49,68%,70%,26.5129031,80.2320978
54,,wifi,17:33:59,"TPLINK" (30:b5:c2:bb:f2:ca),72,-56,-54,-49,68%,70%,26.51290128,80.23209314
55,,wifi,17:34:0,"TPLINK" (30:b5:c2:bb:f2:ca),72,-54,-54,-49,70%,70%,26.51290128,80.23209314
56,,wifi,17:34:1,"TPLINK" (30:b5:c2:bb:f2:ca),72,-54,-54,-49,70%,70%,26.51290128,80.23209314
57,,wifi,17:34:3,"TPLINK" (30:b5:c2:bb:f2:ca),72,-54,-54,-49,70%,70%,26.51290128,80.23209314
58,,wifi,17:34:4,"TPLINK" (30:b5:c2:bb:f2:ca),72,-57,-54,-49,68%,70%,26.51290128,80.23209314
59,,wifi,17:34:5,"TPLINK" (30:b5:c2:bb:f2:ca),72,-56,-54,-49,68%,70%,26.51290128,80.23209314
60,,wifi,17:34:6,"TPLINK" (30:b5:c2:bb:f2:ca),72,-56,-54,-49,68%,70%,26.51290128,80.23209314
61,,wifi,17:34:7,"TPLINK" (30:b5:c2:bb:f2:ca),72,-52,-54,-49,73%,70%,26.5129029,80.2320973
