Counter,Info,Signal type,Time (24h),SSID (BSSID),WiFi speed (Mbps),dBm,dBm average,Best signal,Percent:,Percent average,My Location latitude,My Location longitude
,Log date: 10/26/19
,Log start: 18:51:19
,Log interval: 1 seconds
,Device/Model: RMX1911
,Android: Version 9
,SSID (BSSID)SSID (BSSID): "TPLINK" (30:b5:c2:bb:f2:ca)
,MAC: 02:00:00:00:00:00
,WiFi speed: 72 MBit/s
,Encryption: [WPA2-PSK-CCMP][WPA-PSK-CCMP][ESS][WPS]
,Frequency (channel): 2452MHz * 9
,IP: 192.168.0.100
,External IP: null
,Netmask: 0.0.0.0
,Gateway: 192.168.0.1
,DHCP-Server: 192.168.0.1
,DNS1: 192.168.0.1
,DNS2: 0.0.0.0
1,,wifi,18:51:20,"TPLINK" (30:b5:c2:bb:f2:ca),72,-47,-47,-47,80%,80%,26.5129035,80.2320993
2,,wifi,18:51:21,"TPLINK" (30:b5:c2:bb:f2:ca),72,-45,-46,-45,82%,81%,26.5129035,80.2320993
3,,wifi,18:51:22,"TPLINK" (30:b5:c2:bb:f2:ca),72,-45,-45,-45,82%,81%,26.5129035,80.2320993
4,,wifi,18:51:23,"TPLINK" (30:b5:c2:bb:f2:ca),72,-46,-45,-45,80%,81%,26.5129035,80.2320993
5,,wifi,18:51:24,"TPLINK" (30:b5:c2:bb:f2:ca),72,-46,-45,-45,80%,80%,26.5129035,80.2320993
6,,wifi,18:51:25,"TPLINK" (30:b5:c2:bb:f2:ca),72,-46,-45,-45,80%,80%,26.5129035,80.2320993
7,,wifi,18:51:26,"TPLINK" (30:b5:c2:bb:f2:ca),72,-46,-45,-45,80%,80%,26.5129035,80.2320993
8,,wifi,18:51:27,"TPLINK" (30:b5:c2:bb:f2:ca),72,-44,-45,-44,82%,80%,26.5129028,80.2320849
9,,wifi,18:51:28,"TPLINK" (30:b5:c2:bb:f2:ca),72,-45,-45,-44,82%,80%,26.5129028,80.2320849
10,,wifi,18:51:29,"TPLINK" (30:b5:c2:bb:f2:ca),72,-45,-45,-44,82%,81%,26.5129028,80.2320849
11,,wifi,18:51:31,"TPLINK" (30:b5:c2:bb:f2:ca),72,-45,-45,-44,82%,81%,26.5129028,80.2320849
12,,wifi,18:51:32,"TPLINK" (30:b5:c2:bb:f2:ca),72,-45,-45,-44,82%,81%,26.5129028,80.2320849
13,,wifi,18:51:33,"TPLINK" (30:b5:c2:bb:f2:ca),72,-43,-45,-43,85%,81%,26.5129028,80.2320849
14,,wifi,18:51:34,"TPLINK" (30:b5:c2:bb:f2:ca),72,-44,-45,-43,82%,81%,26.5129028,80.2320849
15,,wifi,18:51:35,"TPLINK" (30:b5:c2:bb:f2:ca),72,-44,-45,-43,82%,81%,26.5129028,80.2320849
16,,wifi,18:51:36,"TPLINK" (30:b5:c2:bb:f2:ca),72,-44,-45,-43,82%,81%,26.5129035,80.2320964
17,,wifi,18:51:37,"TPLINK" (30:b5:c2:bb:f2:ca),72,-44,-44,-43,82%,81%,26.5129035,80.2320964
18,,wifi,18:51:38,"TPLINK" (30:b5:c2:bb:f2:ca),72,-44,-44,-43,82%,81%,26.5129035,80.2320964
