Counter,Info,Signal type,Time (24h),SSID (BSSID),WiFi speed (Mbps),dBm,dBm average,Best signal,Percent:,Percent average,My Location latitude,My Location longitude
,Log date: 10/26/19
,Log start: 21:40:9
,Log interval: 1 seconds
,Device/Model: RMX1911
,Android: Version 9
,SSID (BSSID)SSID (BSSID): "TPLINK" (30:b5:c2:bb:f2:ca)
,MAC: 02:00:00:00:00:00
,WiFi speed: 72 MBit/s
,Encryption: [WPA2-PSK-CCMP][WPA-PSK-CCMP][ESS][WPS]
,Frequency (channel): 2452MHz * 9
,IP: 192.168.0.100
,External IP: null
,Netmask: 0.0.0.0
,Gateway: 192.168.0.1
,DHCP-Server: 192.168.0.1
,DNS1: 192.168.0.1
,DNS2: 0.0.0.0
1,,wifi,21:40:10,"TPLINK" (30:b5:c2:bb:f2:ca),72,-50,-50,-50,75%,75%,26.5129035,80.2320985
2,,wifi,21:40:11,"TPLINK" (30:b5:c2:bb:f2:ca),72,-50,-50,-50,75%,75%,26.5129035,80.2320985
3,,wifi,21:40:12,"TPLINK" (30:b5:c2:bb:f2:ca),72,-51,-50,-50,75%,75%,26.5129035,80.2320985
4,,wifi,21:40:13,"TPLINK" (30:b5:c2:bb:f2:ca),72,-51,-50,-50,75%,75%,26.5129035,80.2320985
5,,wifi,21:40:14,"TPLINK" (30:b5:c2:bb:f2:ca),72,-51,-50,-50,75%,75%,26.5129035,80.2320985
6,,wifi,21:40:15,"TPLINK" (30:b5:c2:bb:f2:ca),72,-49,-50,-49,78%,75%,26.5129035,80.2320985
7,,wifi,21:40:16,"TPLINK" (30:b5:c2:bb:f2:ca),72,-49,-50,-49,78%,75%,26.5129035,80.2320985
8,,wifi,21:40:17,"TPLINK" (30:b5:c2:bb:f2:ca),72,-49,-50,-49,78%,76%,26.5129035,80.2320985
9,,wifi,21:40:18,"TPLINK" (30:b5:c2:bb:f2:ca),72,-51,-50,-49,75%,76%,26.5129035,80.2320985
10,,wifi,21:40:20,"TPLINK" (30:b5:c2:bb:f2:ca),72,-52,-50,-49,73%,75%,26.5129035,80.2320985
11,,wifi,21:40:21,"TPLINK" (30:b5:c2:bb:f2:ca),72,-52,-50,-49,73%,75%,26.5129035,80.2320985
12,,wifi,21:40:22,"TPLINK" (30:b5:c2:bb:f2:ca),72,-53,-50,-49,73%,75%,26.5129035,80.2320985
13,,wifi,21:40:23,"TPLINK" (30:b5:c2:bb:f2:ca),72,-53,-50,-49,73%,75%,26.5129035,80.2320985
14,,wifi,21:40:24,"TPLINK" (30:b5:c2:bb:f2:ca),72,-53,-51,-49,73%,74%,26.5129035,80.2320985
15,,wifi,21:40:25,"TPLINK" (30:b5:c2:bb:f2:ca),72,-55,-51,-49,70%,74%,26.5129035,80.2320985
16,,wifi,21:40:26,"TPLINK" (30:b5:c2:bb:f2:ca),72,-55,-51,-49,70%,74%,26.5129036,80.2320987
17,,wifi,21:40:27,"TPLINK" (30:b5:c2:bb:f2:ca),72,-55,-51,-49,70%,74%,26.5129036,80.2320987
18,,wifi,21:40:28,"TPLINK" (30:b5:c2:bb:f2:ca),72,-57,-52,-49,68%,73%,26.5129036,80.2320987
19,,wifi,21:40:29,"TPLINK" (30:b5:c2:bb:f2:ca),72,-57,-52,-49,68%,73%,26.5129036,80.2320987
20,,wifi,21:40:30,"TPLINK" (30:b5:c2:bb:f2:ca),72,-58,-52,-49,65%,73%,26.5129036,80.2320987
