Counter,Info,Signal type,Time (24h),SSID (BSSID),WiFi speed (Mbps),dBm,dBm average,Best signal,Percent:,Percent average,My Location latitude,My Location longitude
,Log date: 10/26/19
,Log start: 21:3:42
,Log interval: 1 seconds
,Device/Model: RMX1911
,Android: Version 9
,SSID (BSSID)SSID (BSSID): "TPLINK" (30:b5:c2:bb:f2:ca)
,MAC: 02:00:00:00:00:00
,WiFi speed: 72 MBit/s
,Encryption: [WPA2-PSK-CCMP][WPA-PSK-CCMP][ESS][WPS]
,Frequency (channel): 2452MHz * 9
,IP: 192.168.0.100
,External IP: null
,Netmask: 0.0.0.0
,Gateway: 192.168.0.1
,DHCP-Server: 192.168.0.1
,DNS1: 192.168.0.1
,DNS2: 0.0.0.0
1,,wifi,21:3:43,"TPLINK" (30:b5:c2:bb:f2:ca),72,-54,-54,-54,70%,70%,26.5129031,80.2321005
2,,wifi,21:3:44,"TPLINK" (30:b5:c2:bb:f2:ca),72,-56,-55,-54,68%,69%,26.5129031,80.2321001
3,,wifi,21:3:46,"TPLINK" (30:b5:c2:bb:f2:ca),72,-56,-55,-54,68%,68%,26.5129031,80.2321001
4,,wifi,21:3:47,"TPLINK" (30:b5:c2:bb:f2:ca),72,-56,-55,-54,68%,68%,26.5129031,80.2321001
5,,wifi,21:3:48,"TPLINK" (30:b5:c2:bb:f2:ca),72,-57,-55,-54,68%,68%,26.5129031,80.2321001
6,,wifi,21:3:49,"TPLINK" (30:b5:c2:bb:f2:ca),72,-58,-56,-54,65%,67%,26.5129031,80.2321001
7,,wifi,21:3:50,"TPLINK" (30:b5:c2:bb:f2:ca),72,-58,-56,-54,65%,67%,26.5129031,80.2321001
8,,wifi,21:3:51,"TPLINK" (30:b5:c2:bb:f2:ca),72,-59,-56,-54,65%,67%,26.5129031,80.2321001
9,,wifi,21:3:52,"TPLINK" (30:b5:c2:bb:f2:ca),72,-59,-57,-54,65%,66%,26.5129031,80.2321001
10,,wifi,21:3:53,"TPLINK" (30:b5:c2:bb:f2:ca),72,-59,-57,-54,65%,66%,26.5129031,80.2320999
11,,wifi,21:3:54,"TPLINK" (30:b5:c2:bb:f2:ca),72,-60,-57,-54,63%,66%,26.5129031,80.2320999
12,,wifi,21:3:55,"TPLINK" (30:b5:c2:bb:f2:ca),72,-60,-57,-54,63%,66%,26.5129031,80.2320999
13,,wifi,21:3:56,"TPLINK" (30:b5:c2:bb:f2:ca),72,-60,-57,-54,63%,65%,26.5129031,80.2320999
14,,wifi,21:3:57,"TPLINK" (30:b5:c2:bb:f2:ca),72,-57,-57,-54,68%,66%,26.5129031,80.2320999
15,,wifi,21:3:58,"TPLINK" (30:b5:c2:bb:f2:ca),72,-57,-57,-54,68%,66%,26.5129031,80.2320999
16,,wifi,21:3:59,"TPLINK" (30:b5:c2:bb:f2:ca),72,-60,-57,-54,63%,65%,26.5129031,80.2320999
17,,wifi,21:4:0,"TPLINK" (30:b5:c2:bb:f2:ca),72,-60,-58,-54,63%,65%,26.5129031,80.2320996
18,,wifi,21:4:1,"TPLINK" (30:b5:c2:bb:f2:ca),72,-60,-58,-54,63%,65%,26.5129031,80.2320996
19,,wifi,21:4:2,"TPLINK" (30:b5:c2:bb:f2:ca),72,-60,-58,-54,63%,65%,26.5129031,80.2320996
20,,wifi,21:4:3,"TPLINK" (30:b5:c2:bb:f2:ca),72,-60,-58,-54,63%,65%,26.5129031,80.2320996
21,,wifi,21:4:4,"TPLINK" (30:b5:c2:bb:f2:ca),72,-60,-58,-54,63%,65%,26.5129031,80.2320996
22,,wifi,21:4:5,"TPLINK" (30:b5:c2:bb:f2:ca),72,-60,-58,-54,63%,65%,26.5129031,80.2320996
23,,wifi,21:4:6,"TPLINK" (30:b5:c2:bb:f2:ca),72,-58,-58,-54,65%,65%,26.5129031,80.2320996
24,,wifi,21:4:7,"TPLINK" (30:b5:c2:bb:f2:ca),72,-58,-58,-54,65%,65%,26.512903,80.2321001
25,,wifi,21:4:8,"TPLINK" (30:b5:c2:bb:f2:ca),72,-58,-58,-54,65%,65%,26.512903,80.2321001
26,,wifi,21:4:9,"TPLINK" (30:b5:c2:bb:f2:ca),72,-58,-58,-54,65%,65%,26.512903,80.2321001
27,,wifi,21:4:11,"TPLINK" (30:b5:c2:bb:f2:ca),72,-58,-58,-54,65%,65%,26.512903,80.2321001
28,,wifi,21:4:12,"TPLINK" (30:b5:c2:bb:f2:ca),72,-58,-58,-54,65%,65%,26.512903,80.2321001
29,,wifi,21:4:13,"TPLINK" (30:b5:c2:bb:f2:ca),72,-58,-58,-54,65%,65%,26.5129028,80.2321002
30,,wifi,21:4:14,"TPLINK" (30:b5:c2:bb:f2:ca),72,-59,-58,-54,65%,65%,26.5129028,80.2321002
31,,wifi,21:4:15,"TPLINK" (30:b5:c2:bb:f2:ca),72,-59,-58,-54,65%,65%,26.5129028,80.2321002
32,,wifi,21:4:16,"TPLINK" (30:b5:c2:bb:f2:ca),72,-59,-58,-54,65%,65%,26.5129028,80.2321002
33,,wifi,21:4:17,"TPLINK" (30:b5:c2:bb:f2:ca),72,-59,-58,-54,65%,65%,26.5129028,80.2321002
34,,wifi,21:4:18,"TPLINK" (30:b5:c2:bb:f2:ca),72,-60,-58,-54,63%,65%,26.5129028,80.2321002
35,,wifi,21:4:19,"TPLINK" (30:b5:c2:bb:f2:ca),72,-61,-58,-54,63%,64%,26.5129028,80.2321002
36,,wifi,21:4:20,"TPLINK" (30:b5:c2:bb:f2:ca),72,-61,-58,-54,63%,64%,26.5129028,80.2321002
37,,wifi,21:4:21,"TPLINK" (30:b5:c2:bb:f2:ca),72,-62,-58,-54,60%,64%,26.512903,80.2321001
38,,wifi,21:4:22,"TPLINK" (30:b5:c2:bb:f2:ca),72,-62,-58,-54,60%,64%,26.512903,80.2321001
39,,wifi,21:4:23,"TPLINK" (30:b5:c2:bb:f2:ca),72,-62,-58,-54,60%,64%,26.512903,80.2321001
40,,wifi,21:4:25,"TPLINK" (30:b5:c2:bb:f2:ca),72,-63,-58,-54,60%,64%,26.512903,80.2321001
41,,wifi,21:4:26,"TPLINK" (30:b5:c2:bb:f2:ca),72,-63,-59,-54,60%,64%,26.512903,80.2321001
42,,wifi,21:4:27,"TPLINK" (30:b5:c2:bb:f2:ca),72,-63,-59,-54,60%,64%,26.512903,80.2321001
43,,wifi,21:4:28,"TPLINK" (30:b5:c2:bb:f2:ca),72,-62,-59,-54,60%,64%,26.5129029,80.2321
44,,wifi,21:4:29,"TPLINK" (30:b5:c2:bb:f2:ca),72,-63,-59,-54,60%,64%,26.5129029,80.2321
45,,wifi,21:4:30,"TPLINK" (30:b5:c2:bb:f2:ca),72,-63,-59,-54,60%,63%,26.5129029,80.2321
46,,wifi,21:4:31,"TPLINK" (30:b5:c2:bb:f2:ca),72,-63,-59,-54,60%,63%,26.5129029,80.2321
47,,wifi,21:4:32,"TPLINK" (30:b5:c2:bb:f2:ca),72,-63,-59,-54,60%,63%,26.5129029,80.2321
48,,wifi,21:4:33,"TPLINK" (30:b5:c2:bb:f2:ca),72,-60,-59,-54,63%,63%,26.5129029,80.2321
49,,wifi,21:4:34,"TPLINK" (30:b5:c2:bb:f2:ca),72,-59,-59,-54,65%,63%,26.5129029,80.2321
50,,wifi,21:4:35,"TPLINK" (30:b5:c2:bb:f2:ca),72,-59,-59,-54,65%,63%,26.5129028,80.2321003
51,,wifi,21:4:36,"TPLINK" (30:b5:c2:bb:f2:ca),72,-59,-59,-54,65%,63%,26.5129028,80.2321003
52,,wifi,21:4:37,"TPLINK" (30:b5:c2:bb:f2:ca),72,-59,-59,-54,65%,63%,26.5129028,80.2321003
53,,wifi,21:4:38,"TPLINK" (30:b5:c2:bb:f2:ca),72,-59,-59,-54,65%,63%,26.5129028,80.2321003
54,,wifi,21:4:40,"TPLINK" (30:b5:c2:bb:f2:ca),72,-58,-59,-54,65%,63%,26.5129028,80.2321003
55,,wifi,21:4:41,"TPLINK" (30:b5:c2:bb:f2:ca),72,-58,-59,-54,65%,63%,26.5129028,80.2321003
56,,wifi,21:4:42,"TPLINK" (30:b5:c2:bb:f2:ca),72,-58,-59,-54,65%,63%,26.5129028,80.2321003
57,,wifi,21:4:43,"TPLINK" (30:b5:c2:bb:f2:ca),72,-58,-59,-54,65%,63%,26.5129028,80.2321003
58,,wifi,21:4:44,"TPLINK" (30:b5:c2:bb:f2:ca),72,-58,-59,-54,65%,63%,26.5129026,80.2321007
59,,wifi,21:4:45,"TPLINK" (30:b5:c2:bb:f2:ca),72,-57,-59,-54,68%,64%,26.5129026,80.2321007
60,,wifi,21:4:46,"TPLINK" (30:b5:c2:bb:f2:ca),72,-57,-59,-54,68%,64%,26.5129026,80.2321007
61,,wifi,21:4:47,"TPLINK" (30:b5:c2:bb:f2:ca),72,-57,-59,-54,68%,64%,26.5129026,80.2321007
