Counter,Info,Signal type,Time (24h),SSID (BSSID),WiFi speed (Mbps),dBm,dBm average,Best signal,Percent:,Percent average,My Location latitude,My Location longitude
,Log date: 10/26/19
,Log start: 18:53:33
,Log interval: 1 seconds
,Device/Model: RMX1911
,Android: Version 9
,SSID (BSSID)SSID (BSSID): "TPLINK" (30:b5:c2:bb:f2:ca)
,MAC: 02:00:00:00:00:00
,WiFi speed: 72 MBit/s
,Encryption: [WPA2-PSK-CCMP][WPA-PSK-CCMP][ESS][WPS]
,Frequency (channel): 2452MHz * 9
,IP: 192.168.0.100
,External IP: null
,Netmask: 0.0.0.0
,Gateway: 192.168.0.1
,DHCP-Server: 192.168.0.1
,DNS1: 192.168.0.1
,DNS2: 0.0.0.0
1,,wifi,18:53:34,"TPLINK" (30:b5:c2:bb:f2:ca),72,-48,-48,-48,78%,78%,26.5129025,80.232087
2,,wifi,18:53:35,"TPLINK" (30:b5:c2:bb:f2:ca),72,-48,-48,-48,78%,78%,26.5129025,80.232087
3,,wifi,18:53:36,"TPLINK" (30:b5:c2:bb:f2:ca),72,-48,-48,-48,78%,78%,26.5129025,80.232087
4,,wifi,18:53:37,"TPLINK" (30:b5:c2:bb:f2:ca),72,-48,-48,-48,78%,78%,26.5129037,80.2320965
5,,wifi,18:53:38,"TPLINK" (30:b5:c2:bb:f2:ca),72,-48,-48,-48,78%,78%,26.5129037,80.2320965
6,,wifi,18:53:39,"TPLINK" (30:b5:c2:bb:f2:ca),72,-48,-48,-48,78%,78%,26.5129037,80.2320965
7,,wifi,18:53:40,"TPLINK" (30:b5:c2:bb:f2:ca),72,-48,-48,-48,78%,78%,26.5129037,80.2320965
8,,wifi,18:53:41,"TPLINK" (30:b5:c2:bb:f2:ca),72,-48,-48,-48,78%,78%,26.5129037,80.2320965
9,,wifi,18:53:42,"TPLINK" (30:b5:c2:bb:f2:ca),72,-48,-48,-48,78%,78%,26.5129037,80.2320965
10,,wifi,18:53:44,"TPLINK" (30:b5:c2:bb:f2:ca),72,-49,-48,-48,78%,78%,26.5129037,80.2320965
11,,wifi,18:53:45,"TPLINK" (30:b5:c2:bb:f2:ca),72,-49,-48,-48,78%,78%,26.5129038,80.2320966
12,,wifi,18:53:46,"TPLINK" (30:b5:c2:bb:f2:ca),72,-49,-48,-48,78%,78%,26.5129038,80.2320966
13,,wifi,18:53:47,"TPLINK" (30:b5:c2:bb:f2:ca),72,-49,-48,-48,78%,78%,26.5129038,80.2320966
14,,wifi,18:53:48,"TPLINK" (30:b5:c2:bb:f2:ca),72,-49,-48,-48,78%,78%,26.5129038,80.2320966
15,,wifi,18:53:49,"TPLINK" (30:b5:c2:bb:f2:ca),72,-49,-48,-48,78%,78%,26.5129038,80.2320966
16,,wifi,18:53:50,"TPLINK" (30:b5:c2:bb:f2:ca),72,-49,-48,-48,78%,78%,26.5129038,80.2320966
17,,wifi,18:53:51,"TPLINK" (30:b5:c2:bb:f2:ca),72,-49,-48,-48,78%,78%,26.5129038,80.2320966
18,,wifi,18:53:52,"TPLINK" (30:b5:c2:bb:f2:ca),72,-48,-48,-48,78%,78%,26.512904,80.2320962
19,,wifi,18:53:53,"TPLINK" (30:b5:c2:bb:f2:ca),72,-49,-48,-48,78%,78%,26.512904,80.2320962
20,,wifi,18:53:54,"TPLINK" (30:b5:c2:bb:f2:ca),72,-49,-48,-48,78%,78%,26.512904,80.2320962
21,,wifi,18:53:55,"TPLINK" (30:b5:c2:bb:f2:ca),72,-48,-48,-48,78%,78%,26.512904,80.2320962
22,,wifi,18:53:56,"TPLINK" (30:b5:c2:bb:f2:ca),72,-48,-48,-48,78%,78%,26.512904,80.2320962
23,,wifi,18:53:57,"TPLINK" (30:b5:c2:bb:f2:ca),72,-48,-48,-48,78%,78%,26.512904,80.2320962
24,,wifi,18:53:58,"TPLINK" (30:b5:c2:bb:f2:ca),72,-47,-48,-47,80%,78%,26.512904,80.2320962
25,,wifi,18:54:0,"TPLINK" (30:b5:c2:bb:f2:ca),72,-47,-48,-47,80%,78%,26.512904,80.2320962
26,,wifi,18:54:1,"TPLINK" (30:b5:c2:bb:f2:ca),72,-47,-48,-47,80%,78%,26.512904,80.2320962
27,,wifi,18:54:2,"TPLINK" (30:b5:c2:bb:f2:ca),72,-47,-48,-47,80%,78%,26.512904,80.2320962
28,,wifi,18:54:3,"TPLINK" (30:b5:c2:bb:f2:ca),72,-47,-48,-47,80%,78%,26.512904,80.2320962
29,,wifi,18:54:4,"TPLINK" (30:b5:c2:bb:f2:ca),72,-47,-48,-47,80%,78%,26.512904,80.2320962
30,,wifi,18:54:5,"TPLINK" (30:b5:c2:bb:f2:ca),72,-47,-48,-47,80%,78%,26.512904,80.2320962
31,,wifi,18:54:6,"TPLINK" (30:b5:c2:bb:f2:ca),72,-47,-48,-47,80%,78%,26.512904,80.2320962
32,,wifi,18:54:7,"TPLINK" (30:b5:c2:bb:f2:ca),72,-47,-48,-47,80%,78%,26.5129038,80.2320968
33,,wifi,18:54:8,"TPLINK" (30:b5:c2:bb:f2:ca),72,-47,-48,-47,80%,78%,26.5129038,80.2320968
34,,wifi,18:54:9,"TPLINK" (30:b5:c2:bb:f2:ca),72,-47,-47,-47,80%,78%,26.5129038,80.2320968
35,,wifi,18:54:10,"TPLINK" (30:b5:c2:bb:f2:ca),72,-47,-47,-47,80%,78%,26.5129038,80.2320968
36,,wifi,18:54:11,"TPLINK" (30:b5:c2:bb:f2:ca),72,-47,-47,-47,80%,78%,26.5129038,80.2320968
37,,wifi,18:54:12,"TPLINK" (30:b5:c2:bb:f2:ca),72,-47,-47,-47,80%,78%,26.5129038,80.2320968
38,,wifi,18:54:14,"TPLINK" (30:b5:c2:bb:f2:ca),72,-47,-47,-47,80%,78%,26.5129038,80.2320968
39,,wifi,18:54:15,"TPLINK" (30:b5:c2:bb:f2:ca),72,-47,-47,-47,80%,78%,26.5129036,80.2320964
40,,wifi,18:54:16,"TPLINK" (30:b5:c2:bb:f2:ca),72,-47,-47,-47,80%,78%,26.5129036,80.2320964
41,,wifi,18:54:17,"TPLINK" (30:b5:c2:bb:f2:ca),72,-47,-47,-47,80%,78%,26.5129036,80.2320964
42,,wifi,18:54:18,"TPLINK" (30:b5:c2:bb:f2:ca),72,-47,-47,-47,80%,78%,26.5129036,80.2320964
43,,wifi,18:54:19,"TPLINK" (30:b5:c2:bb:f2:ca),72,-47,-47,-47,80%,78%,26.5129036,80.2320964
44,,wifi,18:54:20,"TPLINK" (30:b5:c2:bb:f2:ca),72,-47,-47,-47,80%,78%,26.5129035,80.2320967
45,,wifi,18:54:21,"TPLINK" (30:b5:c2:bb:f2:ca),72,-47,-47,-47,80%,78%,26.5129035,80.2320967
46,,wifi,18:54:22,"TPLINK" (30:b5:c2:bb:f2:ca),72,-48,-47,-47,78%,78%,26.5129035,80.2320967
47,,wifi,18:54:23,"TPLINK" (30:b5:c2:bb:f2:ca),72,-48,-47,-47,78%,78%,26.5129035,80.2320967
48,,wifi,18:54:24,"TPLINK" (30:b5:c2:bb:f2:ca),72,-48,-47,-47,78%,78%,26.5129035,80.2320967
49,,wifi,18:54:25,"TPLINK" (30:b5:c2:bb:f2:ca),72,-49,-47,-47,78%,78%,26.5129035,80.2320967
50,,wifi,18:54:27,"TPLINK" (30:b5:c2:bb:f2:ca),72,-49,-47,-47,78%,78%,26.5129035,80.2320967
51,,wifi,18:54:28,"TPLINK" (30:b5:c2:bb:f2:ca),72,-49,-47,-47,78%,78%,26.5129035,80.2320967
52,,wifi,18:54:29,"TPLINK" (30:b5:c2:bb:f2:ca),72,-48,-47,-47,78%,78%,26.5129035,80.2320967
53,,wifi,18:54:30,"TPLINK" (30:b5:c2:bb:f2:ca),72,-48,-47,-47,78%,78%,26.5129035,80.2320967
54,,wifi,18:54:31,"TPLINK" (30:b5:c2:bb:f2:ca),72,-48,-47,-47,78%,78%,26.5129035,80.2320967
