Counter,Info,Signal type,Time (24h),SSID (BSSID),WiFi speed (Mbps),dBm,dBm average,Best signal,Percent:,Percent average,My Location latitude,My Location longitude
,Log date: 10/26/19
,Log start: 17:28:26
,Log interval: 1 seconds
,Device/Model: RMX1911
,Android: Version 9
,SSID (BSSID)SSID (BSSID): "TPLINK" (30:b5:c2:bb:f2:ca)
,MAC: 02:00:00:00:00:00
,WiFi speed: 72 MBit/s
,Encryption: [WPA2-PSK-CCMP][WPA-PSK-CCMP][ESS][WPS]
,Frequency (channel): 2452MHz * 9
,IP: 192.168.0.100
,External IP: null
,Netmask: 0.0.0.0
,Gateway: 192.168.0.1
,DHCP-Server: 192.168.0.1
,DNS1: 192.168.0.1
,DNS2: 0.0.0.0
1,,wifi,17:28:27,"TPLINK" (30:b5:c2:bb:f2:ca),72,-41,-41,-41,87%,87%,26.5129021,80.2321017
2,,wifi,17:28:28,"TPLINK" (30:b5:c2:bb:f2:ca),72,-42,-41,-41,85%,86%,26.5129021,80.2321017
3,,wifi,17:28:29,"TPLINK" (30:b5:c2:bb:f2:ca),72,-42,-41,-41,85%,85%,26.5129021,80.2321017
4,,wifi,17:28:30,"TPLINK" (30:b5:c2:bb:f2:ca),72,-42,-41,-41,85%,85%,26.5129021,80.2321017
5,,wifi,17:28:31,"TPLINK" (30:b5:c2:bb:f2:ca),72,-42,-41,-41,85%,85%,26.512903,80.2320992
6,,wifi,17:28:32,"TPLINK" (30:b5:c2:bb:f2:ca),72,-42,-41,-41,85%,85%,26.512903,80.2320992
7,,wifi,17:28:33,"TPLINK" (30:b5:c2:bb:f2:ca),72,-42,-41,-41,85%,85%,26.512903,80.2320992
8,,wifi,17:28:34,"TPLINK" (30:b5:c2:bb:f2:ca),72,-42,-41,-41,85%,85%,26.512903,80.2320992
9,,wifi,17:28:35,"TPLINK" (30:b5:c2:bb:f2:ca),72,-42,-41,-41,85%,85%,26.512903,80.2320992
10,,wifi,17:28:36,"TPLINK" (30:b5:c2:bb:f2:ca),72,-42,-41,-41,85%,85%,26.512903,80.2320992
11,,wifi,17:28:37,"TPLINK" (30:b5:c2:bb:f2:ca),72,-41,-41,-41,87%,85%,26.512903,80.2320992
12,,wifi,17:28:38,"TPLINK" (30:b5:c2:bb:f2:ca),72,-41,-41,-41,87%,85%,26.512903,80.2320992
13,,wifi,17:28:39,"TPLINK" (30:b5:c2:bb:f2:ca),72,-41,-41,-41,87%,85%,26.5129029,80.2321002
14,,wifi,17:28:40,"TPLINK" (30:b5:c2:bb:f2:ca),72,-42,-41,-41,85%,85%,26.5129029,80.2321002
15,,wifi,17:28:42,"TPLINK" (30:b5:c2:bb:f2:ca),72,-42,-41,-41,85%,85%,26.5129029,80.2321002
16,,wifi,17:28:43,"TPLINK" (30:b5:c2:bb:f2:ca),72,-42,-41,-41,85%,85%,26.5129029,80.2321002
17,,wifi,17:28:44,"TPLINK" (30:b5:c2:bb:f2:ca),72,-42,-41,-41,85%,85%,26.5129029,80.2321002
18,,wifi,17:28:45,"TPLINK" (30:b5:c2:bb:f2:ca),72,-42,-41,-41,85%,85%,26.5129029,80.2321002
19,,wifi,17:28:46,"TPLINK" (30:b5:c2:bb:f2:ca),72,-42,-41,-41,85%,85%,26.5129029,80.2321002
20,,wifi,17:28:47,"TPLINK" (30:b5:c2:bb:f2:ca),72,-41,-41,-41,87%,85%,26.5129028,80.2320998
21,,wifi,17:28:48,"TPLINK" (30:b5:c2:bb:f2:ca),72,-41,-41,-41,87%,85%,26.5129028,80.2320998
22,,wifi,17:28:49,"TPLINK" (30:b5:c2:bb:f2:ca),72,-42,-41,-41,85%,85%,26.5129028,80.2320998
23,,wifi,17:28:50,"TPLINK" (30:b5:c2:bb:f2:ca),72,-42,-41,-41,85%,85%,26.5129028,80.2320998
24,,wifi,17:28:51,"TPLINK" (30:b5:c2:bb:f2:ca),72,-42,-41,-41,85%,85%,26.5129028,80.2320998
25,,wifi,17:28:52,"TPLINK" (30:b5:c2:bb:f2:ca),72,-42,-41,-41,85%,85%,26.5129028,80.2320998
26,,wifi,17:28:53,"TPLINK" (30:b5:c2:bb:f2:ca),72,-42,-41,-41,85%,85%,26.5129028,80.2320998
27,,wifi,17:28:54,"TPLINK" (30:b5:c2:bb:f2:ca),72,-41,-41,-41,87%,85%,26.5129032,80.2320995
28,,wifi,17:28:55,"TPLINK" (30:b5:c2:bb:f2:ca),72,-42,-41,-41,85%,85%,26.5129032,80.2320995
29,,wifi,17:28:56,"TPLINK" (30:b5:c2:bb:f2:ca),72,-42,-41,-41,85%,85%,26.5129032,80.2320995
30,,wifi,17:28:58,"TPLINK" (30:b5:c2:bb:f2:ca),72,-42,-41,-41,85%,85%,26.5129032,80.2320995
31,,wifi,17:28:59,"TPLINK" (30:b5:c2:bb:f2:ca),72,-42,-41,-41,85%,85%,26.5129032,80.2320995
32,,wifi,17:29:0,"TPLINK" (30:b5:c2:bb:f2:ca),72,-42,-41,-41,85%,85%,26.5129031,80.2320998
33,,wifi,17:29:1,"TPLINK" (30:b5:c2:bb:f2:ca),72,-42,-41,-41,85%,85%,26.5129031,80.2320998
34,,wifi,17:29:2,"TPLINK" (30:b5:c2:bb:f2:ca),72,-42,-41,-41,85%,85%,26.5129031,80.2320998
35,,wifi,17:29:3,"TPLINK" (30:b5:c2:bb:f2:ca),72,-42,-41,-41,85%,85%,26.5129031,80.2320998
36,,wifi,17:29:4,"TPLINK" (30:b5:c2:bb:f2:ca),72,-43,-41,-41,85%,85%,26.5129031,80.2320998
37,,wifi,17:29:5,"TPLINK" (30:b5:c2:bb:f2:ca),72,-43,-41,-41,85%,85%,26.5129031,80.2320998
38,,wifi,17:29:6,"TPLINK" (30:b5:c2:bb:f2:ca),72,-43,-41,-41,85%,85%,26.5129031,80.2320998
39,,wifi,17:29:7,"TPLINK" (30:b5:c2:bb:f2:ca),72,-42,-41,-41,85%,85%,26.5129031,80.2320998
40,,wifi,17:29:8,"TPLINK" (30:b5:c2:bb:f2:ca),72,-42,-41,-41,85%,85%,26.5129031,80.2320998
41,,wifi,17:29:9,"TPLINK" (30:b5:c2:bb:f2:ca),72,-42,-41,-41,85%,85%,26.5129031,80.2320998
42,,wifi,17:29:10,"TPLINK" (30:b5:c2:bb:f2:ca),72,-43,-41,-41,85%,85%,26.5129034,80.232099
43,,wifi,17:29:11,"TPLINK" (30:b5:c2:bb:f2:ca),72,-43,-41,-41,85%,85%,26.5129034,80.232099
44,,wifi,17:29:13,"TPLINK" (30:b5:c2:bb:f2:ca),72,-43,-41,-41,85%,85%,26.5129034,80.232099
45,,wifi,17:29:14,"TPLINK" (30:b5:c2:bb:f2:ca),72,-43,-42,-41,85%,85%,26.5129034,80.232099
46,,wifi,17:29:15,"TPLINK" (30:b5:c2:bb:f2:ca),72,-43,-42,-41,85%,85%,26.5129034,80.232099
47,,wifi,17:29:16,"TPLINK" (30:b5:c2:bb:f2:ca),72,-43,-42,-41,85%,85%,26.5129034,80.232099
48,,wifi,17:29:17,"TPLINK" (30:b5:c2:bb:f2:ca),72,-41,-42,-41,87%,85%,26.5129034,80.232099
49,,wifi,17:29:18,"TPLINK" (30:b5:c2:bb:f2:ca),72,-41,-42,-41,87%,85%,26.5129034,80.232099
50,,wifi,17:29:19,"TPLINK" (30:b5:c2:bb:f2:ca),72,-42,-42,-41,85%,85%,26.5129034,80.232099
51,,wifi,17:29:20,"TPLINK" (30:b5:c2:bb:f2:ca),72,-43,-42,-41,85%,85%,26.5129034,80.232099
52,,wifi,17:29:21,"TPLINK" (30:b5:c2:bb:f2:ca),72,-43,-42,-41,85%,85%,26.5129034,80.232099
53,,wifi,17:29:22,"TPLINK" (30:b5:c2:bb:f2:ca),72,-42,-42,-41,85%,85%,26.5129034,80.232099
54,,wifi,17:29:23,"TPLINK" (30:b5:c2:bb:f2:ca),72,-42,-42,-41,85%,85%,26.5129034,80.2320997
55,,wifi,17:29:24,"TPLINK" (30:b5:c2:bb:f2:ca),72,-43,-42,-41,85%,85%,26.5129034,80.2320997
56,,wifi,17:29:25,"TPLINK" (30:b5:c2:bb:f2:ca),72,-43,-42,-41,85%,85%,26.5129034,80.2320997
57,,wifi,17:29:27,"TPLINK" (30:b5:c2:bb:f2:ca),72,-43,-42,-41,85%,85%,26.5129034,80.2320997
58,,wifi,17:29:28,"TPLINK" (30:b5:c2:bb:f2:ca),72,-43,-42,-41,85%,85%,26.5129034,80.2320997
59,,wifi,17:29:29,"TPLINK" (30:b5:c2:bb:f2:ca),72,-44,-42,-41,82%,85%,26.5129034,80.2320997
60,,wifi,17:29:30,"TPLINK" (30:b5:c2:bb:f2:ca),72,-44,-42,-41,82%,85%,26.5129034,80.2320997
61,,wifi,17:29:31,"TPLINK" (30:b5:c2:bb:f2:ca),72,-44,-42,-41,82%,85%,26.5129032,80.2320997
