Counter,Info,Signal type,Time (24h),SSID (BSSID),WiFi speed (Mbps),dBm,dBm average,Best signal,Percent:,Percent average,My Location latitude,My Location longitude
,Log date: 10/26/19
,Log start: 21:15:15
,Log interval: 1 seconds
,Device/Model: RMX1911
,Android: Version 9
,SSID (BSSID)SSID (BSSID): "TPLINK" (30:b5:c2:bb:f2:ca)
,MAC: 02:00:00:00:00:00
,WiFi speed: 72 MBit/s
,Encryption: [WPA2-PSK-CCMP][WPA-PSK-CCMP][ESS][WPS]
,Frequency (channel): 2452MHz * 9
,IP: 192.168.0.100
,External IP: null
,Netmask: 0.0.0.0
,Gateway: 192.168.0.1
,DHCP-Server: 192.168.0.1
,DNS1: 192.168.0.1
,DNS2: 0.0.0.0
1,,wifi,21:15:16,"TPLINK" (30:b5:c2:bb:f2:ca),72,-39,-39,-39,90%,90%,26.5129033,80.232086
2,,wifi,21:15:17,"TPLINK" (30:b5:c2:bb:f2:ca),72,-39,-39,-39,90%,90%,26.5129033,80.232086
3,,wifi,21:15:18,"TPLINK" (30:b5:c2:bb:f2:ca),72,-42,-40,-39,85%,88%,26.5129033,80.232086
4,,wifi,21:15:19,"TPLINK" (30:b5:c2:bb:f2:ca),72,-40,-40,-39,87%,88%,26.5129033,80.232086
5,,wifi,21:15:20,"TPLINK" (30:b5:c2:bb:f2:ca),72,-40,-40,-39,87%,87%,26.5129033,80.232086
6,,wifi,21:15:21,"TPLINK" (30:b5:c2:bb:f2:ca),72,-42,-40,-39,85%,87%,26.5129033,80.232086
7,,wifi,21:15:22,"TPLINK" (30:b5:c2:bb:f2:ca),72,-42,-40,-39,85%,87%,26.5129033,80.2320857
8,,wifi,21:15:23,"TPLINK" (30:b5:c2:bb:f2:ca),72,-41,-40,-39,87%,87%,26.5129033,80.2320857
9,,wifi,21:15:25,"TPLINK" (30:b5:c2:bb:f2:ca),72,-41,-40,-39,87%,87%,26.5129033,80.2320857
10,,wifi,21:15:26,"TPLINK" (30:b5:c2:bb:f2:ca),72,-41,-40,-39,87%,87%,26.5129033,80.2320857
11,,wifi,21:15:27,"TPLINK" (30:b5:c2:bb:f2:ca),72,-42,-40,-39,85%,86%,26.5129033,80.2320857
12,,wifi,21:15:28,"TPLINK" (30:b5:c2:bb:f2:ca),72,-42,-40,-39,85%,86%,26.5129033,80.2320857
