Counter,Info,Signal type,Time (24h),SSID (BSSID),WiFi speed (Mbps),dBm,dBm average,Best signal,Percent:,Percent average,My Location latitude,My Location longitude
,Log date: 10/26/19
,Log start: 21:1:39
,Log interval: 1 seconds
,Device/Model: RMX1911
,Android: Version 9
,SSID (BSSID)SSID (BSSID): "TPLINK" (30:b5:c2:bb:f2:ca)
,MAC: 02:00:00:00:00:00
,WiFi speed: 72 MBit/s
,Encryption: [WPA2-PSK-CCMP][WPA-PSK-CCMP][ESS][WPS]
,Frequency (channel): 2452MHz * 9
,IP: 192.168.0.100
,External IP: null
,Netmask: 0.0.0.0
,Gateway: 192.168.0.1
,DHCP-Server: 192.168.0.1
,DNS1: 192.168.0.1
,DNS2: 0.0.0.0
1,,wifi,21:1:40,"TPLINK" (30:b5:c2:bb:f2:ca),72,-55,-55,-55,70%,70%,26.5129031,80.2321005
2,,wifi,21:1:41,"TPLINK" (30:b5:c2:bb:f2:ca),72,-55,-55,-55,70%,70%,26.5129031,80.2321005
3,,wifi,21:1:42,"TPLINK" (30:b5:c2:bb:f2:ca),72,-55,-55,-55,70%,70%,26.5129031,80.2321005
4,,wifi,21:1:43,"TPLINK" (30:b5:c2:bb:f2:ca),72,-51,-54,-51,75%,71%,26.512903,80.2320997
5,,wifi,21:1:44,"TPLINK" (30:b5:c2:bb:f2:ca),72,-52,-53,-51,73%,71%,26.512903,80.2320997
6,,wifi,21:1:46,"TPLINK" (30:b5:c2:bb:f2:ca),72,-52,-53,-51,73%,71%,26.512903,80.2320997
7,,wifi,21:1:47,"TPLINK" (30:b5:c2:bb:f2:ca),72,-50,-52,-50,75%,72%,26.512903,80.2320997
8,,wifi,21:1:48,"TPLINK" (30:b5:c2:bb:f2:ca),72,-50,-52,-50,75%,72%,26.512903,80.2320997
9,,wifi,21:1:49,"TPLINK" (30:b5:c2:bb:f2:ca),72,-50,-52,-50,75%,72%,26.512903,80.2320997
10,,wifi,21:1:50,"TPLINK" (30:b5:c2:bb:f2:ca),72,-50,-52,-50,75%,73%,26.512903,80.2320997
11,,wifi,21:1:51,"TPLINK" (30:b5:c2:bb:f2:ca),72,-50,-51,-50,75%,73%,26.512903,80.2320997
12,,wifi,21:1:52,"TPLINK" (30:b5:c2:bb:f2:ca),72,-50,-51,-50,75%,73%,26.512903,80.2320998
13,,wifi,21:1:53,"TPLINK" (30:b5:c2:bb:f2:ca),72,-50,-51,-50,75%,73%,26.512903,80.2320998
14,,wifi,21:1:54,"TPLINK" (30:b5:c2:bb:f2:ca),72,-50,-51,-50,75%,73%,26.512903,80.2320998
15,,wifi,21:1:55,"TPLINK" (30:b5:c2:bb:f2:ca),72,-50,-51,-50,75%,73%,26.512903,80.2320998
16,,wifi,21:1:56,"TPLINK" (30:b5:c2:bb:f2:ca),72,-50,-51,-50,75%,73%,26.512903,80.2320998
17,,wifi,21:1:57,"TPLINK" (30:b5:c2:bb:f2:ca),72,-50,-51,-50,75%,73%,26.512903,80.2320998
18,,wifi,21:1:59,"TPLINK" (30:b5:c2:bb:f2:ca),72,-50,-51,-50,75%,73%,26.512903,80.2320998
19,,wifi,21:2:0,"TPLINK" (30:b5:c2:bb:f2:ca),72,-50,-51,-50,75%,74%,26.5129025,80.2321005
20,,wifi,21:2:1,"TPLINK" (30:b5:c2:bb:f2:ca),72,-50,-51,-50,75%,74%,26.5129025,80.2321005
