Counter,Info,Signal type,Time (24h),SSID (BSSID),WiFi speed (Mbps),dBm,dBm average,Best signal,Percent:,Percent average,My Location latitude,My Location longitude
,Log date: 10/26/19
,Log start: 20:10:55
,Log interval: 1 seconds
,Device/Model: RMX1911
,Android: Version 9
,SSID (BSSID)SSID (BSSID): "TPLINK" (30:b5:c2:bb:f2:ca)
,MAC: 02:00:00:00:00:00
,WiFi speed: 72 MBit/s
,Encryption: [WPA2-PSK-CCMP][WPA-PSK-CCMP][ESS][WPS]
,Frequency (channel): 2452MHz * 9
,IP: 192.168.0.100
,External IP: null
,Netmask: 0.0.0.0
,Gateway: 192.168.0.1
,DHCP-Server: 192.168.0.1
,DNS1: 192.168.0.1
,DNS2: 0.0.0.0
1,,wifi,20:10:56,"TPLINK" (30:b5:c2:bb:f2:ca),72,-46,-46,-46,80%,80%,26.5129044,80.2320972
2,,wifi,20:10:58,"TPLINK" (30:b5:c2:bb:f2:ca),72,-46,-46,-46,80%,80%,26.5129044,80.2320972
3,,wifi,20:10:59,"TPLINK" (30:b5:c2:bb:f2:ca),72,-46,-46,-46,80%,80%,26.5129044,80.2320972
4,,wifi,20:11:0,"TPLINK" (30:b5:c2:bb:f2:ca),72,-46,-46,-46,80%,80%,26.5129044,80.2320972
5,,wifi,20:11:1,"TPLINK" (30:b5:c2:bb:f2:ca),72,-46,-46,-46,80%,80%,26.5129029,80.2320989
6,,wifi,20:11:2,"TPLINK" (30:b5:c2:bb:f2:ca),72,-46,-46,-46,80%,80%,26.5129029,80.2320989
7,,wifi,20:11:3,"TPLINK" (30:b5:c2:bb:f2:ca),72,-46,-46,-46,80%,80%,26.5129029,80.2320989
8,,wifi,20:11:4,"TPLINK" (30:b5:c2:bb:f2:ca),72,-49,-46,-46,78%,79%,26.5129029,80.2320989
9,,wifi,20:11:5,"TPLINK" (30:b5:c2:bb:f2:ca),72,-49,-46,-46,78%,79%,26.5129029,80.2320989
10,,wifi,20:11:6,"TPLINK" (30:b5:c2:bb:f2:ca),72,-49,-46,-46,78%,79%,26.5129029,80.2320989
11,,wifi,20:11:7,"TPLINK" (30:b5:c2:bb:f2:ca),72,-50,-47,-46,75%,79%,26.5129029,80.2320989
12,,wifi,20:11:8,"TPLINK" (30:b5:c2:bb:f2:ca),72,-52,-47,-46,73%,78%,26.5129029,80.2320989
13,,wifi,20:11:9,"TPLINK" (30:b5:c2:bb:f2:ca),72,-52,-47,-46,73%,78%,26.5129029,80.2320995
14,,wifi,20:11:10,"TPLINK" (30:b5:c2:bb:f2:ca),72,-52,-48,-46,73%,77%,26.5129029,80.2320995
15,,wifi,20:11:11,"TPLINK" (30:b5:c2:bb:f2:ca),72,-52,-48,-46,73%,77%,26.5129029,80.2320995
16,,wifi,20:11:12,"TPLINK" (30:b5:c2:bb:f2:ca),72,-52,-48,-46,73%,77%,26.5129029,80.2320995
17,,wifi,20:11:13,"TPLINK" (30:b5:c2:bb:f2:ca),72,-50,-48,-46,75%,77%,26.5129029,80.2320995
18,,wifi,20:11:15,"TPLINK" (30:b5:c2:bb:f2:ca),72,-50,-48,-46,75%,76%,26.5129028,80.2320995
19,,wifi,20:11:16,"TPLINK" (30:b5:c2:bb:f2:ca),72,-50,-48,-46,75%,76%,26.5129028,80.2320995
20,,wifi,20:11:17,"TPLINK" (30:b5:c2:bb:f2:ca),72,-51,-49,-46,75%,76%,26.5129028,80.2320995
21,,wifi,20:11:18,"TPLINK" (30:b5:c2:bb:f2:ca),72,-51,-49,-46,75%,76%,26.5129028,80.2320995
22,,wifi,20:11:19,"TPLINK" (30:b5:c2:bb:f2:ca),72,-52,-49,-46,73%,76%,26.5129028,80.2320995
23,,wifi,20:11:20,"TPLINK" (30:b5:c2:bb:f2:ca),72,-51,-49,-46,75%,76%,26.5129028,80.2320995
24,,wifi,20:11:21,"TPLINK" (30:b5:c2:bb:f2:ca),72,-51,-49,-46,75%,76%,26.5129028,80.2320995
25,,wifi,20:11:22,"TPLINK" (30:b5:c2:bb:f2:ca),72,-51,-49,-46,75%,76%,26.5129028,80.2320995
26,,wifi,20:11:23,"TPLINK" (30:b5:c2:bb:f2:ca),72,-52,-49,-46,73%,76%,26.5129028,80.2320995
27,,wifi,20:11:24,"TPLINK" (30:b5:c2:bb:f2:ca),72,-52,-49,-46,73%,76%,26.5129028,80.2320995
28,,wifi,20:11:25,"TPLINK" (30:b5:c2:bb:f2:ca),72,-53,-49,-46,73%,75%,26.512903,80.2320991
29,,wifi,20:11:26,"TPLINK" (30:b5:c2:bb:f2:ca),72,-53,-49,-46,73%,75%,26.512903,80.2320991
30,,wifi,20:11:27,"TPLINK" (30:b5:c2:bb:f2:ca),72,-53,-49,-46,73%,75%,26.512903,80.2320991
31,,wifi,20:11:28,"TPLINK" (30:b5:c2:bb:f2:ca),72,-54,-50,-46,70%,75%,26.512903,80.2320991
32,,wifi,20:11:30,"TPLINK" (30:b5:c2:bb:f2:ca),72,-54,-50,-46,70%,75%,26.512903,80.2320991
33,,wifi,20:11:31,"TPLINK" (30:b5:c2:bb:f2:ca),72,-54,-50,-46,70%,75%,26.512903,80.2320991
34,,wifi,20:11:32,"TPLINK" (30:b5:c2:bb:f2:ca),72,-54,-50,-46,70%,75%,26.512903,80.2320991
