Counter,Info,Signal type,Time (24h),SSID (BSSID),WiFi speed (Mbps),dBm,dBm average,Best signal,Percent:,Percent average,My Location latitude,My Location longitude
,Log date: 10/26/19
,Log start: 20:5:27
,Log interval: 1 seconds
,Device/Model: RMX1911
,Android: Version 9
,SSID (BSSID)SSID (BSSID): "TPLINK" (30:b5:c2:bb:f2:ca)
,MAC: 02:00:00:00:00:00
,WiFi speed: 72 MBit/s
,Encryption: [WPA2-PSK-CCMP][WPA-PSK-CCMP][ESS][WPS]
,Frequency (channel): 2452MHz * 9
,IP: 192.168.0.100
,External IP: null
,Netmask: 0.0.0.0
,Gateway: 192.168.0.1
,DHCP-Server: 192.168.0.1
,DNS1: 192.168.0.1
,DNS2: 0.0.0.0
1,,wifi,20:5:28,"TPLINK" (30:b5:c2:bb:f2:ca),72,-45,-45,-45,82%,82%,26.5129044,80.2320972
2,,wifi,20:5:29,"TPLINK" (30:b5:c2:bb:f2:ca),72,-48,-46,-45,78%,80%,26.5129044,80.2320972
3,,wifi,20:5:30,"TPLINK" (30:b5:c2:bb:f2:ca),72,-48,-47,-45,78%,79%,26.5129044,80.2320972
4,,wifi,20:5:31,"TPLINK" (30:b5:c2:bb:f2:ca),72,-48,-47,-45,78%,79%,26.5129044,80.2320972
5,,wifi,20:5:32,"TPLINK" (30:b5:c2:bb:f2:ca),72,-48,-47,-45,78%,78%,26.5129044,80.2320972
6,,wifi,20:5:33,"TPLINK" (30:b5:c2:bb:f2:ca),72,-48,-47,-45,78%,78%,26.5129027,80.2320864
7,,wifi,20:5:34,"TPLINK" (30:b5:c2:bb:f2:ca),72,-49,-47,-45,78%,78%,26.5129027,80.2320864
8,,wifi,20:5:35,"TPLINK" (30:b5:c2:bb:f2:ca),72,-49,-47,-45,78%,78%,26.5129027,80.2320864
9,,wifi,20:5:36,"TPLINK" (30:b5:c2:bb:f2:ca),72,-49,-48,-45,78%,78%,26.5129027,80.2320864
10,,wifi,20:5:37,"TPLINK" (30:b5:c2:bb:f2:ca),72,-49,-48,-45,78%,78%,26.5129027,80.2320864
11,,wifi,20:5:38,"TPLINK" (30:b5:c2:bb:f2:ca),72,-47,-48,-45,80%,78%,26.5129027,80.2320864
12,,wifi,20:5:39,"TPLINK" (30:b5:c2:bb:f2:ca),72,-47,-47,-45,80%,78%,26.5129027,80.2320864
13,,wifi,20:5:40,"TPLINK" (30:b5:c2:bb:f2:ca),72,-48,-47,-45,78%,78%,26.5129034,80.2320986
14,,wifi,20:5:41,"TPLINK" (30:b5:c2:bb:f2:ca),72,-48,-47,-45,78%,78%,26.5129034,80.2320986
15,,wifi,20:5:42,"TPLINK" (30:b5:c2:bb:f2:ca),72,-48,-47,-45,78%,78%,26.5129034,80.2320986
16,,wifi,20:5:43,"TPLINK" (30:b5:c2:bb:f2:ca),72,-48,-47,-45,78%,78%,26.5129034,80.2320986
17,,wifi,20:5:45,"TPLINK" (30:b5:c2:bb:f2:ca),72,-48,-47,-45,78%,78%,26.5129034,80.2320986
18,,wifi,20:5:46,"TPLINK" (30:b5:c2:bb:f2:ca),72,-48,-47,-45,78%,78%,26.5129034,80.2320986
19,,wifi,20:5:47,"TPLINK" (30:b5:c2:bb:f2:ca),72,-47,-47,-45,80%,78%,26.5129034,80.2320986
20,,wifi,20:5:48,"TPLINK" (30:b5:c2:bb:f2:ca),72,-47,-47,-45,80%,78%,26.5129033,80.2320986
21,,wifi,20:5:49,"TPLINK" (30:b5:c2:bb:f2:ca),72,-48,-47,-45,78%,78%,26.5129033,80.2320986
22,,wifi,20:5:50,"TPLINK" (30:b5:c2:bb:f2:ca),72,-48,-47,-45,78%,78%,26.5129033,80.2320986
23,,wifi,20:5:51,"TPLINK" (30:b5:c2:bb:f2:ca),72,-48,-47,-45,78%,78%,26.5129033,80.2320986
24,,wifi,20:5:52,"TPLINK" (30:b5:c2:bb:f2:ca),72,-48,-47,-45,78%,78%,26.5129033,80.2320986
25,,wifi,20:5:53,"TPLINK" (30:b5:c2:bb:f2:ca),72,-47,-47,-45,80%,78%,26.5129033,80.2320986
26,,wifi,20:5:54,"TPLINK" (30:b5:c2:bb:f2:ca),72,-47,-47,-45,80%,78%,26.5129033,80.2320986
27,,wifi,20:5:55,"TPLINK" (30:b5:c2:bb:f2:ca),72,-47,-47,-45,80%,78%,26.5129033,80.2320985
28,,wifi,20:5:56,"TPLINK" (30:b5:c2:bb:f2:ca),72,-48,-47,-45,78%,78%,26.5129033,80.2320985
29,,wifi,20:5:57,"TPLINK" (30:b5:c2:bb:f2:ca),72,-48,-47,-45,78%,78%,26.5129033,80.2320985
30,,wifi,20:5:58,"TPLINK" (30:b5:c2:bb:f2:ca),72,-48,-47,-45,78%,78%,26.5129033,80.2320985
31,,wifi,20:6:0,"TPLINK" (30:b5:c2:bb:f2:ca),72,-48,-47,-45,78%,78%,26.5129033,80.2320985
32,,wifi,20:6:1,"TPLINK" (30:b5:c2:bb:f2:ca),72,-48,-47,-45,78%,78%,26.5129033,80.2320985
33,,wifi,20:6:2,"TPLINK" (30:b5:c2:bb:f2:ca),72,-48,-47,-45,78%,78%,26.5129033,80.2320985
34,,wifi,20:6:3,"TPLINK" (30:b5:c2:bb:f2:ca),72,-48,-47,-45,78%,78%,26.5129024,80.232087
35,,wifi,20:6:4,"TPLINK" (30:b5:c2:bb:f2:ca),72,-47,-47,-45,80%,78%,26.5129024,80.232087
36,,wifi,20:6:5,"TPLINK" (30:b5:c2:bb:f2:ca),72,-46,-47,-45,80%,78%,26.5129024,80.232087
37,,wifi,20:6:6,"TPLINK" (30:b5:c2:bb:f2:ca),72,-46,-47,-45,80%,78%,26.5129024,80.232087
38,,wifi,20:6:7,"TPLINK" (30:b5:c2:bb:f2:ca),72,-46,-47,-45,80%,78%,26.5129024,80.232087
39,,wifi,20:6:8,"TPLINK" (30:b5:c2:bb:f2:ca),72,-44,-47,-44,82%,78%,26.5129024,80.232087
40,,wifi,20:6:9,"TPLINK" (30:b5:c2:bb:f2:ca),72,-44,-47,-44,82%,78%,26.5129024,80.232087
41,,wifi,20:6:10,"TPLINK" (30:b5:c2:bb:f2:ca),72,-44,-47,-44,82%,78%,26.5129032,80.232086
42,,wifi,20:6:11,"TPLINK" (30:b5:c2:bb:f2:ca),72,-44,-47,-44,82%,79%,26.5129032,80.232086
43,,wifi,20:6:12,"TPLINK" (30:b5:c2:bb:f2:ca),72,-44,-47,-44,82%,79%,26.5129032,80.232086
44,,wifi,20:6:13,"TPLINK" (30:b5:c2:bb:f2:ca),72,-46,-47,-44,80%,79%,26.5129032,80.232086
45,,wifi,20:6:15,"TPLINK" (30:b5:c2:bb:f2:ca),72,-46,-47,-44,80%,79%,26.5129032,80.232086
46,,wifi,20:6:16,"TPLINK" (30:b5:c2:bb:f2:ca),72,-46,-47,-44,80%,79%,26.5129037,80.2320988
47,,wifi,20:6:17,"TPLINK" (30:b5:c2:bb:f2:ca),72,-46,-47,-44,80%,79%,26.5129037,80.2320988
48,,wifi,20:6:18,"TPLINK" (30:b5:c2:bb:f2:ca),72,-46,-47,-44,80%,79%,26.5129037,80.2320988
49,,wifi,20:6:19,"TPLINK" (30:b5:c2:bb:f2:ca),72,-47,-47,-44,80%,79%,26.5129037,80.2320988
50,,wifi,20:6:20,"TPLINK" (30:b5:c2:bb:f2:ca),72,-47,-47,-44,80%,79%,26.5129037,80.2320988
51,,wifi,20:6:21,"TPLINK" (30:b5:c2:bb:f2:ca),72,-47,-47,-44,80%,79%,26.5129037,80.2320988
52,,wifi,20:6:22,"TPLINK" (30:b5:c2:bb:f2:ca),72,-47,-47,-44,80%,79%,26.5129037,80.2320988
53,,wifi,20:6:23,"TPLINK" (30:b5:c2:bb:f2:ca),72,-48,-47,-44,78%,79%,26.5129037,80.2320988
54,,wifi,20:6:24,"TPLINK" (30:b5:c2:bb:f2:ca),72,-48,-47,-44,78%,79%,26.5129037,80.2320988
55,,wifi,20:6:25,"TPLINK" (30:b5:c2:bb:f2:ca),72,-48,-47,-44,78%,79%,26.5129037,80.2320988
56,,wifi,20:6:26,"TPLINK" (30:b5:c2:bb:f2:ca),72,-48,-47,-44,78%,79%,26.5129037,80.2320988
57,,wifi,20:6:27,"TPLINK" (30:b5:c2:bb:f2:ca),72,-48,-47,-44,78%,79%,26.5129037,80.2320988
58,,wifi,20:6:28,"TPLINK" (30:b5:c2:bb:f2:ca),72,-48,-47,-44,78%,79%,26.5129038,80.2320983
59,,wifi,20:6:30,"TPLINK" (30:b5:c2:bb:f2:ca),72,-48,-47,-44,78%,79%,26.5129038,80.2320983
60,,wifi,20:6:31,"TPLINK" (30:b5:c2:bb:f2:ca),72,-48,-47,-44,78%,79%,26.5129038,80.2320983
61,,wifi,20:6:32,"TPLINK" (30:b5:c2:bb:f2:ca),72,-48,-47,-44,78%,79%,26.5129038,80.2320983
