Counter,Info,Signal type,Time (24h),SSID (BSSID),WiFi speed (Mbps),dBm,dBm average,Best signal,Percent:,Percent average,My Location latitude,My Location longitude
,Log date: 10/26/19
,Log start: 19:17:44
,Log interval: 1 seconds
,Device/Model: RMX1911
,Android: Version 9
,SSID (BSSID)SSID (BSSID): "TPLINK" (30:b5:c2:bb:f2:ca)
,MAC: 02:00:00:00:00:00
,WiFi speed: 72 MBit/s
,Encryption: [WPA2-PSK-CCMP][WPA-PSK-CCMP][ESS][WPS]
,Frequency (channel): 2452MHz * 9
,IP: 192.168.0.100
,External IP: null
,Netmask: 0.0.0.0
,Gateway: 192.168.0.1
,DHCP-Server: 192.168.0.1
,DNS1: 192.168.0.1
,DNS2: 0.0.0.0
1,,wifi,19:17:45,"TPLINK" (30:b5:c2:bb:f2:ca),72,-45,-45,-45,82%,82%,26.512904,80.2320975
2,,wifi,19:17:46,"TPLINK" (30:b5:c2:bb:f2:ca),72,-46,-45,-45,80%,81%,26.512904,80.2320975
3,,wifi,19:17:47,"TPLINK" (30:b5:c2:bb:f2:ca),72,-48,-46,-45,78%,80%,26.512904,80.2320975
4,,wifi,19:17:48,"TPLINK" (30:b5:c2:bb:f2:ca),72,-48,-46,-45,78%,79%,26.512904,80.2320975
5,,wifi,19:17:50,"TPLINK" (30:b5:c2:bb:f2:ca),72,-48,-47,-45,78%,79%,26.512904,80.2320975
6,,wifi,19:17:51,"TPLINK" (30:b5:c2:bb:f2:ca),72,-48,-47,-45,78%,79%,26.512904,80.2320975
7,,wifi,19:17:52,"TPLINK" (30:b5:c2:bb:f2:ca),72,-48,-47,-45,78%,78%,26.5129035,80.232099
8,,wifi,19:17:53,"TPLINK" (30:b5:c2:bb:f2:ca),72,-52,-47,-45,73%,78%,26.51296627,80.23197747
9,,wifi,19:17:54,"TPLINK" (30:b5:c2:bb:f2:ca),72,-52,-48,-45,73%,77%,26.51296626,80.23197747
10,,wifi,19:17:55,"TPLINK" (30:b5:c2:bb:f2:ca),72,-52,-48,-45,73%,77%,26.51296629,80.23197748
11,,wifi,19:17:56,"TPLINK" (30:b5:c2:bb:f2:ca),72,-53,-49,-45,73%,76%,26.51296629,80.23197747
12,,wifi,19:17:57,"TPLINK" (30:b5:c2:bb:f2:ca),72,-53,-49,-45,73%,76%,26.51296628,80.23197747
13,,wifi,19:17:58,"TPLINK" (30:b5:c2:bb:f2:ca),72,-49,-49,-45,78%,76%,26.51296628,80.23197747
14,,wifi,19:17:59,"TPLINK" (30:b5:c2:bb:f2:ca),72,-49,-49,-45,78%,76%,26.5129035,80.2320987
15,,wifi,19:18:0,"TPLINK" (30:b5:c2:bb:f2:ca),72,-49,-49,-45,78%,76%,26.5129035,80.2320987
16,,wifi,19:18:1,"TPLINK" (30:b5:c2:bb:f2:ca),72,-47,-49,-45,80%,76%,26.5129035,80.2320987
17,,wifi,19:18:2,"TPLINK" (30:b5:c2:bb:f2:ca),72,-47,-49,-45,80%,77%,26.5129035,80.2320987
18,,wifi,19:18:3,"TPLINK" (30:b5:c2:bb:f2:ca),72,-47,-48,-45,80%,77%,26.5129035,80.2320987
19,,wifi,19:18:4,"TPLINK" (30:b5:c2:bb:f2:ca),72,-49,-48,-45,78%,77%,26.5129035,80.2320987
20,,wifi,19:18:6,"TPLINK" (30:b5:c2:bb:f2:ca),72,-49,-48,-45,78%,77%,26.5129025,80.232087
21,,wifi,19:18:7,"TPLINK" (30:b5:c2:bb:f2:ca),72,-49,-48,-45,78%,77%,26.5129025,80.232087
22,,wifi,19:18:8,"TPLINK" (30:b5:c2:bb:f2:ca),72,-47,-48,-45,80%,77%,26.5129025,80.232087
23,,wifi,19:18:9,"TPLINK" (30:b5:c2:bb:f2:ca),72,-47,-48,-45,80%,77%,26.5129025,80.232087
24,,wifi,19:18:10,"TPLINK" (30:b5:c2:bb:f2:ca),72,-47,-48,-45,80%,77%,26.5129025,80.232087
25,,wifi,19:18:11,"TPLINK" (30:b5:c2:bb:f2:ca),72,-47,-48,-45,80%,77%,26.5129025,80.232087
26,,wifi,19:18:12,"TPLINK" (30:b5:c2:bb:f2:ca),72,-47,-48,-45,80%,77%,26.5129025,80.232087
27,,wifi,19:18:13,"TPLINK" (30:b5:c2:bb:f2:ca),72,-47,-48,-45,80%,77%,26.5129025,80.232087
28,,wifi,19:18:14,"TPLINK" (30:b5:c2:bb:f2:ca),72,-47,-48,-45,80%,78%,26.5129025,80.232087
29,,wifi,19:18:15,"TPLINK" (30:b5:c2:bb:f2:ca),72,-47,-48,-45,80%,78%,26.5129025,80.232087
30,,wifi,19:18:16,"TPLINK" (30:b5:c2:bb:f2:ca),72,-46,-48,-45,80%,78%,26.5129025,80.232087
31,,wifi,19:18:17,"TPLINK" (30:b5:c2:bb:f2:ca),72,-46,-48,-45,80%,78%,26.512903,80.2320864
32,,wifi,19:18:18,"TPLINK" (30:b5:c2:bb:f2:ca),72,-46,-48,-45,80%,78%,26.512903,80.2320864
33,,wifi,19:18:19,"TPLINK" (30:b5:c2:bb:f2:ca),72,-46,-48,-45,80%,78%,26.51296267,80.23198311
34,,wifi,19:18:21,"TPLINK" (30:b5:c2:bb:f2:ca),72,-46,-48,-45,80%,78%,26.51296266,80.23198311
35,,wifi,19:18:22,"TPLINK" (30:b5:c2:bb:f2:ca),72,-46,-48,-45,80%,78%,26.51296266,80.23198311
36,,wifi,19:18:23,"TPLINK" (30:b5:c2:bb:f2:ca),72,-46,-47,-45,80%,78%,26.51296268,80.2319831
37,,wifi,19:18:24,"TPLINK" (30:b5:c2:bb:f2:ca),72,-46,-47,-45,80%,78%,26.51296268,80.2319831
38,,wifi,19:18:25,"TPLINK" (30:b5:c2:bb:f2:ca),72,-46,-47,-45,80%,78%,26.5129031,80.2320867
39,,wifi,19:18:26,"TPLINK" (30:b5:c2:bb:f2:ca),72,-47,-47,-45,80%,78%,26.5129031,80.2320867
40,,wifi,19:18:27,"TPLINK" (30:b5:c2:bb:f2:ca),72,-47,-47,-45,80%,78%,26.5129031,80.2320867
41,,wifi,19:18:28,"TPLINK" (30:b5:c2:bb:f2:ca),72,-43,-47,-43,85%,78%,26.51296223,80.23198247
42,,wifi,19:18:29,"TPLINK" (30:b5:c2:bb:f2:ca),72,-43,-47,-43,85%,78%,26.51296223,80.23198246
