Counter,Info,Signal type,Time (24h),SSID (BSSID),WiFi speed (Mbps),dBm,dBm average,Best signal,Percent:,Percent average,My Location latitude,My Location longitude
,Log date: 10/26/19
,Log start: 20:3:10
,Log interval: 1 seconds
,Device/Model: RMX1911
,Android: Version 9
,SSID (BSSID)SSID (BSSID): "TPLINK" (30:b5:c2:bb:f2:ca)
,MAC: 02:00:00:00:00:00
,WiFi speed: 72 MBit/s
,Encryption: [WPA2-PSK-CCMP][WPA-PSK-CCMP][ESS][WPS]
,Frequency (channel): 2452MHz * 9
,IP: 192.168.0.100
,External IP: null
,Netmask: 0.0.0.0
,Gateway: 192.168.0.1
,DHCP-Server: 192.168.0.1
,DNS1: 192.168.0.1
,DNS2: 0.0.0.0
1,,wifi,20:3:11,"TPLINK" (30:b5:c2:bb:f2:ca),72,-49,-49,-49,78%,78%,26.5129044,80.2320972
2,,wifi,20:3:12,"TPLINK" (30:b5:c2:bb:f2:ca),72,-49,-49,-49,78%,78%,26.5129044,80.2320972
3,,wifi,20:3:13,"TPLINK" (30:b5:c2:bb:f2:ca),72,-50,-49,-49,75%,77%,26.5129044,80.2320972
4,,wifi,20:3:14,"TPLINK" (30:b5:c2:bb:f2:ca),72,-50,-49,-49,75%,76%,26.5129044,80.2320972
5,,wifi,20:3:15,"TPLINK" (30:b5:c2:bb:f2:ca),72,-50,-49,-49,75%,76%,26.5129044,80.2320972
6,,wifi,20:3:16,"TPLINK" (30:b5:c2:bb:f2:ca),72,-50,-49,-49,75%,76%,26.5129044,80.2320972
7,,wifi,20:3:17,"TPLINK" (30:b5:c2:bb:f2:ca),72,-50,-49,-49,75%,75%,26.5129037,80.2320978
8,,wifi,20:3:18,"TPLINK" (30:b5:c2:bb:f2:ca),72,-50,-49,-49,75%,75%,26.5129037,80.2320978
9,,wifi,20:3:19,"TPLINK" (30:b5:c2:bb:f2:ca),72,-50,-49,-49,75%,75%,26.5129037,80.2320978
10,,wifi,20:3:20,"TPLINK" (30:b5:c2:bb:f2:ca),72,-50,-49,-49,75%,75%,26.5129037,80.2320978
11,,wifi,20:3:21,"TPLINK" (30:b5:c2:bb:f2:ca),72,-50,-49,-49,75%,75%,26.5129037,80.2320978
12,,wifi,20:3:22,"TPLINK" (30:b5:c2:bb:f2:ca),72,-50,-49,-49,75%,75%,26.5129037,80.2320978
13,,wifi,20:3:23,"TPLINK" (30:b5:c2:bb:f2:ca),72,-48,-49,-48,78%,75%,26.5129037,80.2320978
14,,wifi,20:3:24,"TPLINK" (30:b5:c2:bb:f2:ca),72,-49,-49,-48,78%,75%,26.5129029,80.2320861
15,,wifi,20:3:25,"TPLINK" (30:b5:c2:bb:f2:ca),72,-49,-49,-48,78%,76%,26.5129029,80.2320861
16,,wifi,20:3:26,"TPLINK" (30:b5:c2:bb:f2:ca),72,-49,-49,-48,78%,76%,26.5129029,80.2320861
17,,wifi,20:3:27,"TPLINK" (30:b5:c2:bb:f2:ca),72,-49,-49,-48,78%,76%,26.5129029,80.2320861
18,,wifi,20:3:28,"TPLINK" (30:b5:c2:bb:f2:ca),72,-49,-49,-48,78%,76%,26.5129029,80.2320861
19,,wifi,20:3:29,"TPLINK" (30:b5:c2:bb:f2:ca),72,-49,-49,-48,78%,76%,26.5129029,80.2320861
20,,wifi,20:3:30,"TPLINK" (30:b5:c2:bb:f2:ca),72,-49,-49,-48,78%,76%,26.5129029,80.2320861
21,,wifi,20:3:32,"TPLINK" (30:b5:c2:bb:f2:ca),72,-49,-49,-48,78%,76%,26.5129028,80.2320862
22,,wifi,20:3:33,"TPLINK" (30:b5:c2:bb:f2:ca),72,-49,-49,-48,78%,76%,26.5129028,80.2320862
23,,wifi,20:3:34,"TPLINK" (30:b5:c2:bb:f2:ca),72,-49,-49,-48,78%,76%,26.5129028,80.2320862
24,,wifi,20:3:35,"TPLINK" (30:b5:c2:bb:f2:ca),72,-49,-49,-48,78%,76%,26.5129028,80.2320862
25,,wifi,20:3:36,"TPLINK" (30:b5:c2:bb:f2:ca),72,-49,-49,-48,78%,76%,26.5129028,80.2320862
26,,wifi,20:3:37,"TPLINK" (30:b5:c2:bb:f2:ca),72,-48,-49,-48,78%,76%,26.5129028,80.2320862
27,,wifi,20:3:38,"TPLINK" (30:b5:c2:bb:f2:ca),72,-47,-49,-47,80%,76%,26.5129028,80.2320862
28,,wifi,20:3:39,"TPLINK" (30:b5:c2:bb:f2:ca),72,-48,-49,-47,78%,77%,26.5129039,80.2320973
29,,wifi,20:3:40,"TPLINK" (30:b5:c2:bb:f2:ca),72,-48,-49,-47,78%,77%,26.5129039,80.2320973
30,,wifi,20:3:41,"TPLINK" (30:b5:c2:bb:f2:ca),72,-48,-49,-47,78%,77%,26.5129039,80.2320973
31,,wifi,20:3:42,"TPLINK" (30:b5:c2:bb:f2:ca),72,-48,-49,-47,78%,77%,26.5129039,80.2320973
32,,wifi,20:3:43,"TPLINK" (30:b5:c2:bb:f2:ca),72,-48,-49,-47,78%,77%,26.5129039,80.2320973
33,,wifi,20:3:44,"TPLINK" (30:b5:c2:bb:f2:ca),72,-48,-49,-47,78%,77%,26.5129039,80.2320973
34,,wifi,20:3:46,"TPLINK" (30:b5:c2:bb:f2:ca),72,-47,-48,-47,80%,77%,26.5129039,80.2320973
35,,wifi,20:3:47,"TPLINK" (30:b5:c2:bb:f2:ca),72,-47,-48,-47,80%,77%,26.5129039,80.2320973
36,,wifi,20:3:48,"TPLINK" (30:b5:c2:bb:f2:ca),72,-47,-48,-47,80%,77%,26.512903,80.2320859
37,,wifi,20:3:49,"TPLINK" (30:b5:c2:bb:f2:ca),72,-47,-48,-47,80%,77%,26.512903,80.2320859
38,,wifi,20:3:50,"TPLINK" (30:b5:c2:bb:f2:ca),72,-47,-48,-47,80%,77%,26.512903,80.2320859
39,,wifi,20:3:51,"TPLINK" (30:b5:c2:bb:f2:ca),72,-47,-48,-47,80%,77%,26.512903,80.2320859
40,,wifi,20:3:52,"TPLINK" (30:b5:c2:bb:f2:ca),72,-47,-48,-47,80%,77%,26.512903,80.2320859
41,,wifi,20:3:53,"TPLINK" (30:b5:c2:bb:f2:ca),72,-46,-48,-46,80%,77%,26.512903,80.2320859
42,,wifi,20:3:54,"TPLINK" (30:b5:c2:bb:f2:ca),72,-46,-48,-46,80%,77%,26.512903,80.2320859
43,,wifi,20:3:55,"TPLINK" (30:b5:c2:bb:f2:ca),72,-47,-48,-46,80%,77%,26.5129039,80.2320974
44,,wifi,20:3:56,"TPLINK" (30:b5:c2:bb:f2:ca),72,-47,-48,-46,80%,77%,26.5129039,80.2320974
45,,wifi,20:3:57,"TPLINK" (30:b5:c2:bb:f2:ca),72,-47,-48,-46,80%,77%,26.5129039,80.2320974
46,,wifi,20:3:58,"TPLINK" (30:b5:c2:bb:f2:ca),72,-47,-48,-46,80%,77%,26.5129039,80.2320974
47,,wifi,20:3:59,"TPLINK" (30:b5:c2:bb:f2:ca),72,-47,-48,-46,80%,78%,26.5129039,80.2320974
48,,wifi,20:4:1,"TPLINK" (30:b5:c2:bb:f2:ca),72,-46,-48,-46,80%,78%,26.5129039,80.2320974
49,,wifi,20:4:2,"TPLINK" (30:b5:c2:bb:f2:ca),72,-46,-48,-46,80%,78%,26.5129039,80.2320974
50,,wifi,20:4:3,"TPLINK" (30:b5:c2:bb:f2:ca),72,-46,-48,-46,80%,78%,26.5129039,80.2320974
51,,wifi,20:4:4,"TPLINK" (30:b5:c2:bb:f2:ca),72,-45,-48,-45,82%,78%,26.5129039,80.2320974
52,,wifi,20:4:5,"TPLINK" (30:b5:c2:bb:f2:ca),72,-45,-48,-45,82%,78%,26.5129039,80.2320974
53,,wifi,20:4:6,"TPLINK" (30:b5:c2:bb:f2:ca),72,-45,-48,-45,82%,78%,26.5129039,80.2320974
54,,wifi,20:4:7,"TPLINK" (30:b5:c2:bb:f2:ca),72,-45,-47,-45,82%,78%,26.5129039,80.2320974
55,,wifi,20:4:8,"TPLINK" (30:b5:c2:bb:f2:ca),72,-45,-47,-45,82%,78%,26.5129041,80.2320969
56,,wifi,20:4:9,"TPLINK" (30:b5:c2:bb:f2:ca),72,-45,-47,-45,82%,78%,26.5129041,80.2320969
57,,wifi,20:4:10,"TPLINK" (30:b5:c2:bb:f2:ca),72,-45,-47,-45,82%,78%,26.5129041,80.2320969
58,,wifi,20:4:11,"TPLINK" (30:b5:c2:bb:f2:ca),72,-45,-47,-45,82%,78%,26.5129041,80.2320969
59,,wifi,20:4:12,"TPLINK" (30:b5:c2:bb:f2:ca),72,-44,-47,-44,82%,78%,26.5129041,80.2320969
60,,wifi,20:4:13,"TPLINK" (30:b5:c2:bb:f2:ca),72,-44,-47,-44,82%,78%,26.5129041,80.2320969
61,,wifi,20:4:14,"TPLINK" (30:b5:c2:bb:f2:ca),72,-44,-47,-44,82%,78%,26.5129041,80.2320969
