Counter,Info,Signal type,Time (24h),SSID (BSSID),WiFi speed (Mbps),dBm,dBm average,Best signal,Percent:,Percent average,My Location latitude,My Location longitude
,Log date: 10/26/19
,Log start: 20:55:5
,Log interval: 1 seconds
,Device/Model: RMX1911
,Android: Version 9
,SSID (BSSID)SSID (BSSID): "TPLINK" (30:b5:c2:bb:f2:ca)
,MAC: 02:00:00:00:00:00
,WiFi speed: 72 MBit/s
,Encryption: [WPA2-PSK-CCMP][WPA-PSK-CCMP][ESS][WPS]
,Frequency (channel): 2452MHz * 9
,IP: 192.168.0.100
,External IP: null
,Netmask: 0.0.0.0
,Gateway: 192.168.0.1
,DHCP-Server: 192.168.0.1
,DNS1: 192.168.0.1
,DNS2: 0.0.0.0
1,,wifi,20:55:6,"TPLINK" (30:b5:c2:bb:f2:ca),72,-50,-50,-50,75%,75%,26.5129031,80.2321005
2,,wifi,20:55:7,"TPLINK" (30:b5:c2:bb:f2:ca),72,-50,-50,-50,75%,75%,26.5129031,80.2321005
3,,wifi,20:55:8,"TPLINK" (30:b5:c2:bb:f2:ca),72,-54,-51,-50,70%,73%,26.5129031,80.2321005
4,,wifi,20:55:9,"TPLINK" (30:b5:c2:bb:f2:ca),72,-54,-52,-50,70%,72%,26.5129031,80.2321005
5,,wifi,20:55:10,"TPLINK" (30:b5:c2:bb:f2:ca),72,-54,-52,-50,70%,72%,26.5129029,80.2321005
6,,wifi,20:55:11,"TPLINK" (30:b5:c2:bb:f2:ca),72,-54,-52,-50,70%,71%,26.5129029,80.2321005
7,,wifi,20:55:12,"TPLINK" (30:b5:c2:bb:f2:ca),72,-54,-52,-50,70%,71%,26.5129029,80.2321005
8,,wifi,20:55:13,"TPLINK" (30:b5:c2:bb:f2:ca),72,-54,-53,-50,70%,71%,26.5129029,80.2321005
9,,wifi,20:55:14,"TPLINK" (30:b5:c2:bb:f2:ca),72,-53,-53,-50,73%,71%,26.5129029,80.2321005
10,,wifi,20:55:15,"TPLINK" (30:b5:c2:bb:f2:ca),72,-53,-53,-50,73%,71%,26.5129029,80.2321005
11,,wifi,20:55:16,"TPLINK" (30:b5:c2:bb:f2:ca),72,-53,-53,-50,73%,71%,26.5129029,80.2321005
12,,wifi,20:55:17,"TPLINK" (30:b5:c2:bb:f2:ca),72,-53,-53,-50,73%,71%,26.5129029,80.2321002
13,,wifi,20:55:18,"TPLINK" (30:b5:c2:bb:f2:ca),72,-53,-53,-50,73%,71%,26.5129029,80.2321002
14,,wifi,20:55:19,"TPLINK" (30:b5:c2:bb:f2:ca),72,-54,-53,-50,70%,71%,26.5129029,80.2321002
15,,wifi,20:55:20,"TPLINK" (30:b5:c2:bb:f2:ca),72,-54,-53,-50,70%,71%,26.5129029,80.2321002
16,,wifi,20:55:21,"TPLINK" (30:b5:c2:bb:f2:ca),72,-54,-53,-50,70%,71%,26.5129029,80.2321002
17,,wifi,20:55:22,"TPLINK" (30:b5:c2:bb:f2:ca),72,-52,-53,-50,73%,71%,26.5129029,80.2321002
18,,wifi,20:55:23,"TPLINK" (30:b5:c2:bb:f2:ca),72,-52,-53,-50,73%,71%,26.5129029,80.2321002
19,,wifi,20:55:24,"TPLINK" (30:b5:c2:bb:f2:ca),72,-50,-52,-50,75%,71%,26.5129029,80.2321002
20,,wifi,20:55:25,"TPLINK" (30:b5:c2:bb:f2:ca),72,-51,-52,-50,75%,72%,26.5129028,80.2321003
21,,wifi,20:55:26,"TPLINK" (30:b5:c2:bb:f2:ca),72,-51,-52,-50,75%,72%,26.5129028,80.2321003
22,,wifi,20:55:28,"TPLINK" (30:b5:c2:bb:f2:ca),72,-51,-52,-50,75%,72%,26.5129028,80.2321003
23,,wifi,20:55:29,"TPLINK" (30:b5:c2:bb:f2:ca),72,-51,-52,-50,75%,72%,26.5129028,80.2321003
24,,wifi,20:55:30,"TPLINK" (30:b5:c2:bb:f2:ca),72,-51,-52,-50,75%,72%,26.5129028,80.2321003
25,,wifi,20:55:31,"TPLINK" (30:b5:c2:bb:f2:ca),72,-51,-52,-50,75%,72%,26.5129028,80.2321003
26,,wifi,20:55:32,"TPLINK" (30:b5:c2:bb:f2:ca),72,-51,-52,-50,75%,72%,26.5129028,80.2321003
27,,wifi,20:55:33,"TPLINK" (30:b5:c2:bb:f2:ca),72,-51,-52,-50,75%,72%,26.512903,80.2321001
28,,wifi,20:55:34,"TPLINK" (30:b5:c2:bb:f2:ca),72,-51,-52,-50,75%,72%,26.512903,80.2321001
29,,wifi,20:55:35,"TPLINK" (30:b5:c2:bb:f2:ca),72,-51,-52,-50,75%,72%,26.512903,80.2321001
30,,wifi,20:55:36,"TPLINK" (30:b5:c2:bb:f2:ca),72,-51,-52,-50,75%,73%,26.512903,80.2321001
31,,wifi,20:55:37,"TPLINK" (30:b5:c2:bb:f2:ca),72,-51,-52,-50,75%,73%,26.512903,80.2321001
32,,wifi,20:55:38,"TPLINK" (30:b5:c2:bb:f2:ca),72,-51,-52,-50,75%,73%,26.512903,80.2321001
33,,wifi,20:55:39,"TPLINK" (30:b5:c2:bb:f2:ca),72,-51,-52,-50,75%,73%,26.512903,80.2321001
34,,wifi,20:55:40,"TPLINK" (30:b5:c2:bb:f2:ca),72,-52,-52,-50,73%,73%,26.512903,80.2320996
35,,wifi,20:55:42,"TPLINK" (30:b5:c2:bb:f2:ca),72,-52,-52,-50,73%,73%,26.512903,80.2320996
36,,wifi,20:55:43,"TPLINK" (30:b5:c2:bb:f2:ca),72,-52,-52,-50,73%,73%,26.512903,80.2320996
37,,wifi,20:55:44,"TPLINK" (30:b5:c2:bb:f2:ca),72,-50,-52,-50,75%,73%,26.512903,80.2320996
38,,wifi,20:55:45,"TPLINK" (30:b5:c2:bb:f2:ca),72,-50,-51,-50,75%,73%,26.512903,80.2320996
39,,wifi,20:55:46,"TPLINK" (30:b5:c2:bb:f2:ca),72,-50,-51,-50,75%,73%,26.512903,80.2321002
40,,wifi,20:55:47,"TPLINK" (30:b5:c2:bb:f2:ca),72,-51,-51,-50,75%,73%,26.512903,80.2321002
41,,wifi,20:55:48,"TPLINK" (30:b5:c2:bb:f2:ca),72,-51,-51,-50,75%,73%,26.512903,80.2321002
42,,wifi,20:55:49,"TPLINK" (30:b5:c2:bb:f2:ca),72,-51,-51,-50,75%,73%,26.512903,80.2321002
43,,wifi,20:55:50,"TPLINK" (30:b5:c2:bb:f2:ca),72,-51,-51,-50,75%,73%,26.512903,80.2321002
44,,wifi,20:55:51,"TPLINK" (30:b5:c2:bb:f2:ca),72,-51,-51,-50,75%,73%,26.512903,80.2321002
45,,wifi,20:55:52,"TPLINK" (30:b5:c2:bb:f2:ca),72,-51,-51,-50,75%,73%,26.512903,80.2321002
46,,wifi,20:55:53,"TPLINK" (30:b5:c2:bb:f2:ca),72,-50,-51,-50,75%,73%,26.512903,80.2321002
47,,wifi,20:55:54,"TPLINK" (30:b5:c2:bb:f2:ca),72,-50,-51,-50,75%,73%,26.512903,80.2321002
48,,wifi,20:55:56,"TPLINK" (30:b5:c2:bb:f2:ca),72,-51,-51,-50,75%,73%,26.512903,80.2321002
49,,wifi,20:55:57,"TPLINK" (30:b5:c2:bb:f2:ca),72,-51,-51,-50,75%,73%,26.512903,80.2321002
50,,wifi,20:55:58,"TPLINK" (30:b5:c2:bb:f2:ca),72,-51,-51,-50,75%,73%,26.512903,80.2321002
51,,wifi,20:55:59,"TPLINK" (30:b5:c2:bb:f2:ca),72,-51,-51,-50,75%,73%,26.512903,80.2320997
52,,wifi,20:56:0,"TPLINK" (30:b5:c2:bb:f2:ca),72,-51,-51,-50,75%,73%,26.512903,80.2320997
53,,wifi,20:56:1,"TPLINK" (30:b5:c2:bb:f2:ca),72,-51,-51,-50,75%,73%,26.512903,80.2320997
54,,wifi,20:56:2,"TPLINK" (30:b5:c2:bb:f2:ca),72,-51,-51,-50,75%,73%,26.512903,80.2320997
55,,wifi,20:56:3,"TPLINK" (30:b5:c2:bb:f2:ca),72,-51,-51,-50,75%,73%,26.512903,80.2320997
56,,wifi,20:56:4,"TPLINK" (30:b5:c2:bb:f2:ca),72,-52,-51,-50,73%,73%,26.512903,80.2320997
57,,wifi,20:56:5,"TPLINK" (30:b5:c2:bb:f2:ca),72,-52,-51,-50,73%,73%,26.512903,80.2320997
58,,wifi,20:56:6,"TPLINK" (30:b5:c2:bb:f2:ca),72,-52,-51,-50,73%,73%,26.5129033,80.2320995
59,,wifi,20:56:7,"TPLINK" (30:b5:c2:bb:f2:ca),72,-52,-51,-50,73%,73%,26.5129033,80.2320995
60,,wifi,20:56:8,"TPLINK" (30:b5:c2:bb:f2:ca),72,-52,-51,-50,73%,73%,26.5129033,80.2320995
61,,wifi,20:56:9,"TPLINK" (30:b5:c2:bb:f2:ca),72,-53,-51,-50,73%,73%,26.5129033,80.2320995
