Counter,Info,Signal type,Time (24h),SSID (BSSID),WiFi speed (Mbps),dBm,dBm average,Best signal,Percent:,Percent average,My Location latitude,My Location longitude
,Log date: 10/26/19
,Log start: 20:57:50
,Log interval: 1 seconds
,Device/Model: RMX1911
,Android: Version 9
,SSID (BSSID)SSID (BSSID): "TPLINK" (30:b5:c2:bb:f2:ca)
,MAC: 02:00:00:00:00:00
,WiFi speed: 72 MBit/s
,Encryption: [WPA2-PSK-CCMP][WPA-PSK-CCMP][ESS][WPS]
,Frequency (channel): 2452MHz * 9
,IP: 192.168.0.100
,External IP: null
,Netmask: 0.0.0.0
,Gateway: 192.168.0.1
,DHCP-Server: 192.168.0.1
,DNS1: 192.168.0.1
,DNS2: 0.0.0.0
1,,wifi,20:57:51,"TPLINK" (30:b5:c2:bb:f2:ca),72,-46,-46,-46,80%,80%,26.5129031,80.2321005
2,,wifi,20:57:52,"TPLINK" (30:b5:c2:bb:f2:ca),72,-46,-46,-46,80%,80%,26.5129031,80.2321005
3,,wifi,20:57:53,"TPLINK" (30:b5:c2:bb:f2:ca),72,-46,-46,-46,80%,80%,26.5129031,80.2321005
4,,wifi,20:57:54,"TPLINK" (30:b5:c2:bb:f2:ca),72,-53,-47,-46,73%,78%,26.5129234,80.232089
5,,wifi,20:57:55,"TPLINK" (30:b5:c2:bb:f2:ca),72,-53,-48,-46,73%,77%,26.5129234,80.232089
6,,wifi,20:57:56,"TPLINK" (30:b5:c2:bb:f2:ca),72,-53,-49,-46,73%,76%,26.5129234,80.232089
7,,wifi,20:57:57,"TPLINK" (30:b5:c2:bb:f2:ca),72,-55,-50,-46,70%,75%,26.5129234,80.232089
8,,wifi,20:57:58,"TPLINK" (30:b5:c2:bb:f2:ca),72,-55,-50,-46,70%,74%,26.5129234,80.232089
9,,wifi,20:57:59,"TPLINK" (30:b5:c2:bb:f2:ca),72,-49,-50,-46,78%,75%,26.5129234,80.232089
10,,wifi,20:58:0,"TPLINK" (30:b5:c2:bb:f2:ca),72,-49,-50,-46,78%,75%,26.5129234,80.232089
11,,wifi,20:58:2,"TPLINK" (30:b5:c2:bb:f2:ca),72,-49,-50,-46,78%,75%,26.5129234,80.232089
12,,wifi,20:58:3,"TPLINK" (30:b5:c2:bb:f2:ca),72,-42,-49,-42,85%,76%,26.5129234,80.232089
13,,wifi,20:58:4,"TPLINK" (30:b5:c2:bb:f2:ca),72,-42,-49,-42,85%,77%,26.5129234,80.232089
14,,wifi,20:58:5,"TPLINK" (30:b5:c2:bb:f2:ca),72,-42,-48,-42,85%,77%,26.5129234,80.232089
15,,wifi,20:58:6,"TPLINK" (30:b5:c2:bb:f2:ca),72,-41,-48,-41,87%,78%,26.5129234,80.232089
16,,wifi,20:58:7,"TPLINK" (30:b5:c2:bb:f2:ca),72,-41,-47,-41,87%,78%,26.5129114,80.2320865
17,,wifi,20:58:8,"TPLINK" (30:b5:c2:bb:f2:ca),72,-41,-47,-41,87%,79%,26.5129114,80.2320865
18,,wifi,20:58:9,"TPLINK" (30:b5:c2:bb:f2:ca),72,-42,-46,-41,85%,79%,26.5129114,80.2320865
19,,wifi,20:58:10,"TPLINK" (30:b5:c2:bb:f2:ca),72,-42,-46,-41,85%,79%,26.5129114,80.2320865
20,,wifi,20:58:11,"TPLINK" (30:b5:c2:bb:f2:ca),72,-42,-46,-41,85%,80%,26.5129114,80.2320865
