Counter,Info,Signal type,Time (24h),SSID (BSSID),WiFi speed (Mbps),dBm,dBm average,Best signal,Percent:,Percent average,My Location latitude,My Location longitude
,Log date: 10/26/19
,Log start: 19:47:26
,Log interval: 1 seconds
,Device/Model: RMX1911
,Android: Version 9
,SSID (BSSID)SSID (BSSID): "TPLINK" (30:b5:c2:bb:f2:ca)
,MAC: 02:00:00:00:00:00
,WiFi speed: 72 MBit/s
,Encryption: [WPA2-PSK-CCMP][WPA-PSK-CCMP][ESS][WPS]
,Frequency (channel): 2452MHz * 9
,IP: 192.168.0.100
,External IP: null
,Netmask: 0.0.0.0
,Gateway: 192.168.0.1
,DHCP-Server: 192.168.0.1
,DNS1: 192.168.0.1
,DNS2: 0.0.0.0
1,,wifi,19:47:27,"TPLINK" (30:b5:c2:bb:f2:ca),72,-43,-43,-43,85%,85%,26.5129037,80.2320983
2,,wifi,19:47:28,"TPLINK" (30:b5:c2:bb:f2:ca),72,-48,-45,-43,78%,81%,26.5129037,80.2320983
3,,wifi,19:47:29,"TPLINK" (30:b5:c2:bb:f2:ca),72,-48,-46,-43,78%,80%,26.5129037,80.2320983
4,,wifi,19:47:31,"TPLINK" (30:b5:c2:bb:f2:ca),72,-48,-46,-43,78%,79%,26.5129033,80.2320976
5,,wifi,19:47:32,"TPLINK" (30:b5:c2:bb:f2:ca),72,-49,-47,-43,78%,79%,26.5129033,80.2320976
6,,wifi,19:47:33,"TPLINK" (30:b5:c2:bb:f2:ca),72,-49,-47,-43,78%,79%,26.5129033,80.2320976
7,,wifi,19:47:34,"TPLINK" (30:b5:c2:bb:f2:ca),72,-49,-47,-43,78%,79%,26.5129033,80.2320976
8,,wifi,19:47:35,"TPLINK" (30:b5:c2:bb:f2:ca),72,-51,-48,-43,75%,78%,26.5129033,80.2320976
9,,wifi,19:47:36,"TPLINK" (30:b5:c2:bb:f2:ca),72,-51,-48,-43,75%,78%,26.5129023,80.2320859
10,,wifi,19:47:37,"TPLINK" (30:b5:c2:bb:f2:ca),72,-51,-48,-43,75%,77%,26.5129023,80.2320859
11,,wifi,19:47:38,"TPLINK" (30:b5:c2:bb:f2:ca),72,-54,-49,-43,70%,77%,26.5129023,80.2320859
12,,wifi,19:47:39,"TPLINK" (30:b5:c2:bb:f2:ca),72,-54,-49,-43,70%,76%,26.5129023,80.2320859
13,,wifi,19:47:40,"TPLINK" (30:b5:c2:bb:f2:ca),72,-54,-49,-43,70%,76%,26.5129023,80.2320859
14,,wifi,19:47:41,"TPLINK" (30:b5:c2:bb:f2:ca),72,-55,-50,-43,70%,75%,26.5129023,80.2320859
