Counter,Info,Signal type,Time (24h),SSID (BSSID),WiFi speed (Mbps),dBm,dBm average,Best signal,Percent:,Percent average,My Location latitude,My Location longitude
,Log date: 10/26/19
,Log start: 20:1:13
,Log interval: 1 seconds
,Device/Model: RMX1911
,Android: Version 9
,SSID (BSSID)SSID (BSSID): "TPLINK" (30:b5:c2:bb:f2:ca)
,MAC: 02:00:00:00:00:00
,WiFi speed: 72 MBit/s
,Encryption: [WPA2-PSK-CCMP][WPA-PSK-CCMP][ESS][WPS]
,Frequency (channel): 2452MHz * 9
,IP: 192.168.0.100
,External IP: null
,Netmask: 0.0.0.0
,Gateway: 192.168.0.1
,DHCP-Server: 192.168.0.1
,DNS1: 192.168.0.1
,DNS2: 0.0.0.0
1,,wifi,20:1:14,"TPLINK" (30:b5:c2:bb:f2:ca),72,-44,-44,-44,82%,82%,26.5129044,80.2320972
2,,wifi,20:1:15,"TPLINK" (30:b5:c2:bb:f2:ca),72,-44,-44,-44,82%,82%,26.5129042,80.2320977
3,,wifi,20:1:17,"TPLINK" (30:b5:c2:bb:f2:ca),72,-44,-44,-44,82%,82%,26.5129042,80.2320977
4,,wifi,20:1:18,"TPLINK" (30:b5:c2:bb:f2:ca),72,-43,-43,-43,85%,82%,26.5129042,80.2320977
5,,wifi,20:1:19,"TPLINK" (30:b5:c2:bb:f2:ca),72,-43,-43,-43,85%,83%,26.51290918,80.2320788
6,,wifi,20:1:20,"TPLINK" (30:b5:c2:bb:f2:ca),72,-43,-43,-43,85%,83%,26.51290918,80.2320788
7,,wifi,20:1:21,"TPLINK" (30:b5:c2:bb:f2:ca),72,-43,-43,-43,85%,83%,26.51290918,80.2320788
8,,wifi,20:1:22,"TPLINK" (30:b5:c2:bb:f2:ca),72,-43,-43,-43,85%,83%,26.51290918,80.2320788
9,,wifi,20:1:23,"TPLINK" (30:b5:c2:bb:f2:ca),72,-42,-43,-42,85%,84%,26.51290918,80.2320788
10,,wifi,20:1:24,"TPLINK" (30:b5:c2:bb:f2:ca),72,-42,-43,-42,85%,84%,26.5129038,80.2320988
11,,wifi,20:1:25,"TPLINK" (30:b5:c2:bb:f2:ca),72,-42,-43,-42,85%,84%,26.5129038,80.2320988
12,,wifi,20:1:26,"TPLINK" (30:b5:c2:bb:f2:ca),72,-42,-42,-42,85%,84%,26.5129038,80.2320988
13,,wifi,20:1:27,"TPLINK" (30:b5:c2:bb:f2:ca),72,-42,-42,-42,85%,84%,26.5129038,80.2320988
14,,wifi,20:1:28,"TPLINK" (30:b5:c2:bb:f2:ca),72,-42,-42,-42,85%,84%,26.5129038,80.2320988
15,,wifi,20:1:29,"TPLINK" (30:b5:c2:bb:f2:ca),72,-42,-42,-42,85%,84%,26.5129038,80.2320988
16,,wifi,20:1:30,"TPLINK" (30:b5:c2:bb:f2:ca),72,-42,-42,-42,85%,84%,26.5129038,80.2320988
17,,wifi,20:1:31,"TPLINK" (30:b5:c2:bb:f2:ca),72,-42,-42,-42,85%,84%,26.5129037,80.2320985
18,,wifi,20:1:33,"TPLINK" (30:b5:c2:bb:f2:ca),72,-42,-42,-42,85%,84%,26.5129037,80.2320985
19,,wifi,20:1:34,"TPLINK" (30:b5:c2:bb:f2:ca),72,-43,-42,-42,85%,84%,26.5129037,80.2320985
20,,wifi,20:1:35,"TPLINK" (30:b5:c2:bb:f2:ca),72,-43,-42,-42,85%,84%,26.5129037,80.2320985
21,,wifi,20:1:36,"TPLINK" (30:b5:c2:bb:f2:ca),72,-43,-42,-42,85%,84%,26.5129037,80.2320985
22,,wifi,20:1:37,"TPLINK" (30:b5:c2:bb:f2:ca),72,-43,-42,-42,85%,84%,26.5129037,80.2320985
23,,wifi,20:1:38,"TPLINK" (30:b5:c2:bb:f2:ca),72,-43,-42,-42,85%,84%,26.5129037,80.2320985
24,,wifi,20:1:39,"TPLINK" (30:b5:c2:bb:f2:ca),72,-43,-42,-42,85%,84%,26.5129039,80.2320986
25,,wifi,20:1:40,"TPLINK" (30:b5:c2:bb:f2:ca),72,-43,-42,-42,85%,84%,26.5129039,80.2320986
26,,wifi,20:1:41,"TPLINK" (30:b5:c2:bb:f2:ca),72,-43,-42,-42,85%,84%,26.5129039,80.2320986
27,,wifi,20:1:42,"TPLINK" (30:b5:c2:bb:f2:ca),72,-43,-42,-42,85%,84%,26.5129039,80.2320986
28,,wifi,20:1:43,"TPLINK" (30:b5:c2:bb:f2:ca),72,-44,-42,-42,82%,84%,26.5129039,80.2320986
29,,wifi,20:1:44,"TPLINK" (30:b5:c2:bb:f2:ca),72,-44,-42,-42,82%,84%,26.5129039,80.2320986
30,,wifi,20:1:45,"TPLINK" (30:b5:c2:bb:f2:ca),72,-44,-42,-42,82%,84%,26.5129039,80.2320986
31,,wifi,20:1:46,"TPLINK" (30:b5:c2:bb:f2:ca),72,-44,-42,-42,82%,84%,26.5129043,80.2320977
32,,wifi,20:1:48,"TPLINK" (30:b5:c2:bb:f2:ca),72,-44,-42,-42,82%,84%,26.5129043,80.2320977
33,,wifi,20:1:49,"TPLINK" (30:b5:c2:bb:f2:ca),72,-44,-42,-42,82%,84%,26.5129043,80.2320977
34,,wifi,20:1:50,"TPLINK" (30:b5:c2:bb:f2:ca),72,-44,-43,-42,82%,84%,26.5129043,80.2320977
35,,wifi,20:1:51,"TPLINK" (30:b5:c2:bb:f2:ca),72,-45,-43,-42,82%,84%,26.5129043,80.2320977
36,,wifi,20:1:52,"TPLINK" (30:b5:c2:bb:f2:ca),72,-45,-43,-42,82%,84%,26.5129043,80.2320977
37,,wifi,20:1:53,"TPLINK" (30:b5:c2:bb:f2:ca),72,-44,-43,-42,82%,83%,26.5129043,80.2320977
38,,wifi,20:1:54,"TPLINK" (30:b5:c2:bb:f2:ca),72,-44,-43,-42,82%,83%,26.5129044,80.2320973
39,,wifi,20:1:55,"TPLINK" (30:b5:c2:bb:f2:ca),72,-44,-43,-42,82%,83%,26.51290856,80.23208136
40,,wifi,20:1:56,"TPLINK" (30:b5:c2:bb:f2:ca),72,-44,-43,-42,82%,83%,26.51290857,80.23208136
41,,wifi,20:1:57,"TPLINK" (30:b5:c2:bb:f2:ca),72,-44,-43,-42,82%,83%,26.51290845,80.2320811
42,,wifi,20:1:58,"TPLINK" (30:b5:c2:bb:f2:ca),72,-44,-43,-42,82%,83%,26.51290845,80.2320811
43,,wifi,20:1:59,"TPLINK" (30:b5:c2:bb:f2:ca),72,-44,-43,-42,82%,83%,26.51290845,80.2320811
44,,wifi,20:2:0,"TPLINK" (30:b5:c2:bb:f2:ca),72,-44,-43,-42,82%,83%,26.5129044,80.232097
45,,wifi,20:2:1,"TPLINK" (30:b5:c2:bb:f2:ca),72,-44,-43,-42,82%,83%,26.5129044,80.232097
46,,wifi,20:2:2,"TPLINK" (30:b5:c2:bb:f2:ca),72,-44,-43,-42,82%,83%,26.5129044,80.232097
47,,wifi,20:2:4,"TPLINK" (30:b5:c2:bb:f2:ca),72,-44,-43,-42,82%,83%,26.5129044,80.232097
48,,wifi,20:2:5,"TPLINK" (30:b5:c2:bb:f2:ca),72,-44,-43,-42,82%,83%,26.5129044,80.232097
49,,wifi,20:2:6,"TPLINK" (30:b5:c2:bb:f2:ca),72,-44,-43,-42,82%,83%,26.5129044,80.232097
50,,wifi,20:2:7,"TPLINK" (30:b5:c2:bb:f2:ca),72,-44,-43,-42,82%,83%,26.5129044,80.232097
51,,wifi,20:2:8,"TPLINK" (30:b5:c2:bb:f2:ca),72,-44,-43,-42,82%,83%,26.5129044,80.232097
52,,wifi,20:2:9,"TPLINK" (30:b5:c2:bb:f2:ca),72,-45,-43,-42,82%,83%,26.5129044,80.232097
53,,wifi,20:2:10,"TPLINK" (30:b5:c2:bb:f2:ca),72,-45,-43,-42,82%,83%,26.5129082,80.23208127
54,,wifi,20:2:11,"TPLINK" (30:b5:c2:bb:f2:ca),72,-45,-43,-42,82%,83%,26.51290821,80.23208126
55,,wifi,20:2:12,"TPLINK" (30:b5:c2:bb:f2:ca),72,-44,-43,-42,82%,83%,26.51290821,80.23208126
56,,wifi,20:2:13,"TPLINK" (30:b5:c2:bb:f2:ca),72,-45,-43,-42,82%,83%,26.51290809,80.23208137
57,,wifi,20:2:14,"TPLINK" (30:b5:c2:bb:f2:ca),72,-45,-43,-42,82%,83%,26.51290809,80.23208137
58,,wifi,20:2:15,"TPLINK" (30:b5:c2:bb:f2:ca),72,-44,-43,-42,82%,83%,26.51290809,80.23208137
59,,wifi,20:2:16,"TPLINK" (30:b5:c2:bb:f2:ca),72,-44,-43,-42,82%,83%,26.51290809,80.23208137
60,,wifi,20:2:17,"TPLINK" (30:b5:c2:bb:f2:ca),72,-44,-43,-42,82%,83%,26.51290809,80.23208137
61,,wifi,20:2:19,"TPLINK" (30:b5:c2:bb:f2:ca),72,-44,-43,-42,82%,83%,26.51290809,80.23208137
