Counter,Info,Signal type,Time (24h),SSID (BSSID),WiFi speed (Mbps),dBm,dBm average,Best signal,Percent:,Percent average,My Location latitude,My Location longitude
,Log date: 10/26/19
,Log start: 20:45:3
,Log interval: 1 seconds
,Device/Model: RMX1911
,Android: Version 9
,SSID (BSSID)SSID (BSSID): "TPLINK" (30:b5:c2:bb:f2:ca)
,MAC: 02:00:00:00:00:00
,WiFi speed: 72 MBit/s
,Encryption: [WPA2-PSK-CCMP][WPA-PSK-CCMP][ESS][WPS]
,Frequency (channel): 2452MHz * 9
,IP: 192.168.0.100
,External IP: null
,Netmask: 0.0.0.0
,Gateway: 192.168.0.1
,DHCP-Server: 192.168.0.1
,DNS1: 192.168.0.1
,DNS2: 0.0.0.0
1,,wifi,20:45:4,"TPLINK" (30:b5:c2:bb:f2:ca),72,-52,-52,-52,73%,73%,26.5129033,80.2320854
2,,wifi,20:45:5,"TPLINK" (30:b5:c2:bb:f2:ca),72,-52,-52,-52,73%,73%,26.5129033,80.2320854
3,,wifi,20:45:6,"TPLINK" (30:b5:c2:bb:f2:ca),72,-52,-52,-52,73%,73%,26.5129034,80.232099
4,,wifi,20:45:7,"TPLINK" (30:b5:c2:bb:f2:ca),72,-52,-52,-52,73%,73%,26.5129034,80.232099
5,,wifi,20:45:8,"TPLINK" (30:b5:c2:bb:f2:ca),72,-51,-51,-51,75%,73%,26.5129034,80.232099
6,,wifi,20:45:9,"TPLINK" (30:b5:c2:bb:f2:ca),72,-53,-52,-51,73%,73%,26.5129034,80.232099
7,,wifi,20:45:10,"TPLINK" (30:b5:c2:bb:f2:ca),72,-53,-52,-51,73%,73%,26.5129034,80.232099
8,,wifi,20:45:11,"TPLINK" (30:b5:c2:bb:f2:ca),72,-51,-52,-51,75%,73%,26.5129034,80.232099
9,,wifi,20:45:12,"TPLINK" (30:b5:c2:bb:f2:ca),72,-51,-51,-51,75%,73%,26.5129034,80.232099
10,,wifi,20:45:13,"TPLINK" (30:b5:c2:bb:f2:ca),72,-51,-51,-51,75%,73%,26.5129034,80.2320987
11,,wifi,20:45:14,"TPLINK" (30:b5:c2:bb:f2:ca),72,-53,-51,-51,73%,73%,26.5129034,80.2320987
12,,wifi,20:45:15,"TPLINK" (30:b5:c2:bb:f2:ca),72,-53,-52,-51,73%,73%,26.5129034,80.2320987
13,,wifi,20:45:17,"TPLINK" (30:b5:c2:bb:f2:ca),72,-53,-52,-51,73%,73%,26.5129034,80.2320987
14,,wifi,20:45:18,"TPLINK" (30:b5:c2:bb:f2:ca),72,-53,-52,-51,73%,73%,26.5129034,80.2320987
15,,wifi,20:45:19,"TPLINK" (30:b5:c2:bb:f2:ca),72,-54,-52,-51,70%,73%,26.5129034,80.2320987
16,,wifi,20:45:20,"TPLINK" (30:b5:c2:bb:f2:ca),72,-54,-52,-51,70%,73%,26.5129034,80.2320987
17,,wifi,20:45:21,"TPLINK" (30:b5:c2:bb:f2:ca),72,-53,-52,-51,73%,73%,26.5129036,80.2320984
18,,wifi,20:45:22,"TPLINK" (30:b5:c2:bb:f2:ca),72,-53,-52,-51,73%,73%,26.5129036,80.2320984
19,,wifi,20:45:23,"TPLINK" (30:b5:c2:bb:f2:ca),72,-53,-52,-51,73%,73%,26.5129036,80.2320984
