Name,Time,MAC Address,UUID,Major,Minor,RSSI,Scanned Data
null,30-01-2020 19:31,57:41:E8:37:44:EA, , , ,-84, 
[TV]89,30-01-2020 19:31,84:C0:EF:36:FA:AD, , , ,-69, 
[TV]89,30-01-2020 19:31,84:C0:EF:36:FA:AD, , , ,-69, 
null,30-01-2020 19:31,2F:19:97:46:85:89, , , ,-88, 
null,30-01-2020 19:31,23:1B:D4:9B:2E:14, , , ,-92, 
null,30-01-2020 19:31,31:9F:0E:62:5A:DA, , , ,-83, 
null,30-01-2020 19:31,0E:8A:CB:39:8C:C7, , , ,-95, 
null,30-01-2020 19:31,06:87:86:48:B9:21, , , ,-93, 
[TV]89,30-01-2020 19:31,84:C0:EF:36:FA:AD, , , ,-69, 
null,30-01-2020 19:31,56:D2:FB:F3:78:AA, , , ,-78, 
[TV]89,30-01-2020 19:31,84:C0:EF:36:FA:AD, , , ,-70, 
null,30-01-2020 19:31,2F:19:97:46:85:89, , , ,-88, 
null,30-01-2020 19:31,23:1B:D4:9B:2E:14, , , ,-93, 
null,30-01-2020 19:31,31:9F:0E:62:5A:DA, , , ,-83, 
null,30-01-2020 19:31,06:87:86:48:B9:21, , , ,-92, 
[TV]89,30-01-2020 19:31,84:C0:EF:36:FA:AD, , , ,-70, 
[TV]89,30-01-2020 19:31,84:C0:EF:36:FA:AD, , , ,-70, 
null,30-01-2020 19:31,2F:19:97:46:85:89, , , ,-90, 
null,30-01-2020 19:31,23:1B:D4:9B:2E:14, , , ,-94, 
null,30-01-2020 19:31,31:9F:0E:62:5A:DA, , , ,-83, 
null,30-01-2020 19:31,0E:8A:CB:39:8C:C7, , , ,-95, 
null,30-01-2020 19:31,56:D2:FB:F3:78:AA, , , ,-76, 
[TV]89,30-01-2020 19:31,84:C0:EF:36:FA:AD, , , ,-70, 
null,30-01-2020 19:31,06:87:86:48:B9:21, , , ,-92, 
[TV]89,30-01-2020 19:31,84:C0:EF:36:FA:AD, , , ,-70, 
null,30-01-2020 19:31,2F:19:97:46:85:89, , , ,-89, 
null,30-01-2020 19:31,31:9F:0E:62:5A:DA, , , ,-83, 
null,30-01-2020 19:31,0E:8A:CB:39:8C:C7, , , ,-94, 
null,30-01-2020 19:31,06:87:86:48:B9:21, , , ,-93, 
[TV]89,30-01-2020 19:31,84:C0:EF:36:FA:AD, , , ,-71, 
[TV]89,30-01-2020 19:31,84:C0:EF:36:FA:AD, , , ,-72, 
null,30-01-2020 19:31,2F:19:97:46:85:89, , , ,-89, 
null,30-01-2020 19:31,23:1B:D4:9B:2E:14, , , ,-94, 
null,30-01-2020 19:31,31:9F:0E:62:5A:DA, , , ,-83, 
null,30-01-2020 19:31,56:D2:FB:F3:78:AA, , , ,-75, 
[TV]89,30-01-2020 19:31,84:C0:EF:36:FA:AD, , , ,-71, 
null,30-01-2020 19:31,0E:8A:CB:39:8C:C7, , , ,-93, 
null,30-01-2020 19:31,06:87:86:48:B9:21, , , ,-95, 
[TV]89,30-01-2020 19:31,84:C0:EF:36:FA:AD, , , ,-72, 
null,30-01-2020 19:31,57:41:E8:37:44:EA, , , ,-83, 
null,30-01-2020 19:31,2F:19:97:46:85:89, , , ,-88, 
null,30-01-2020 19:31,23:1B:D4:9B:2E:14, , , ,-92, 
null,30-01-2020 19:31,31:9F:0E:62:5A:DA, , , ,-85, 
[TV]89,30-01-2020 19:31,84:C0:EF:36:FA:AD, , , ,-73, 
null,30-01-2020 19:31,0E:8A:CB:39:8C:C7, , , ,-96, 
null,30-01-2020 19:31,06:87:86:48:B9:21, , , ,-92, 
null,30-01-2020 19:31,2F:19:97:46:85:89, , , ,-88, 
null,30-01-2020 19:31,56:D2:FB:F3:78:AA, , , ,-75, 
null,30-01-2020 19:31,31:9F:0E:62:5A:DA, , , ,-84, 
[TV]89,30-01-2020 19:31,84:C0:EF:36:FA:AD, , , ,-79, 
[TV]89,30-01-2020 19:31,84:C0:EF:36:FA:AD, , , ,-80, 
null,30-01-2020 19:31,06:87:86:48:B9:21, , , ,-95, 
null,30-01-2020 19:31,2F:19:97:46:85:89, , , ,-89, 
Mi Band 3,30-01-2020 19:31,C9:F2:EB:EB:B1:6E, , , ,-85, 
null,30-01-2020 19:31,23:1B:D4:9B:2E:14, , , ,-94, 
null,30-01-2020 19:31,31:9F:0E:62:5A:DA, , , ,-88, 
[TV]89,30-01-2020 19:31,84:C0:EF:36:FA:AD, , , ,-87, 
[TV]89,30-01-2020 19:31,84:C0:EF:36:FA:AD, , , ,-92, 
null,30-01-2020 19:31,56:D2:FB:F3:78:AA, , , ,-77, 
null,30-01-2020 19:31,2F:19:97:46:85:89, , , ,-89, 
null,30-01-2020 19:31,23:1B:D4:9B:2E:14, , , ,-92, 
null,30-01-2020 19:31,31:9F:0E:62:5A:DA, , , ,-85, 
null,30-01-2020 19:31,0E:8A:CB:39:8C:C7, , , ,-94, 
[TV]89,30-01-2020 19:31,84:C0:EF:36:FA:AD, , , ,-89, 
null,30-01-2020 19:31,57:41:E8:37:44:EA, , , ,-84, 
null,30-01-2020 19:31,06:87:86:48:B9:21, , , ,-100, 
null,30-01-2020 19:31,23:1B:D4:9B:2E:14, , , ,-92, 
[TV]89,30-01-2020 19:31,84:C0:EF:36:FA:AD, , , ,-77, 
[TV]89,30-01-2020 19:31,84:C0:EF:36:FA:AD, , , ,-77, 
null,30-01-2020 19:31,0E:8A:CB:39:8C:C7, , , ,-93, 
null,30-01-2020 19:31,56:D2:FB:F3:78:AA, , , ,-77, 
null,30-01-2020 19:31,2F:19:97:46:85:89, , , ,-88, 
[TV]89,30-01-2020 19:31,84:C0:EF:36:FA:AD, , , ,-74, 
null,30-01-2020 19:31,57:41:E8:37:44:EA, , , ,-84, 
null,30-01-2020 19:31,23:1B:D4:9B:2E:14, , , ,-94, 
[TV]89,30-01-2020 19:31,84:C0:EF:36:FA:AD, , , ,-74, 
null,30-01-2020 19:31,0E:8A:CB:39:8C:C7, , , ,-98, 
null,30-01-2020 19:31,06:87:86:48:B9:21, , , ,-94, 
null,30-01-2020 19:31,2F:19:97:46:85:89, , , ,-87, 
[TV]89,30-01-2020 19:31,84:C0:EF:36:FA:AD, , , ,-74, 
null,30-01-2020 19:31,31:9F:0E:62:5A:DA, , , ,-86, 
null,30-01-2020 19:31,56:D2:FB:F3:78:AA, , , ,-77, 
[TV]89,30-01-2020 19:31,84:C0:EF:36:FA:AD, , , ,-75, 
null,30-01-2020 19:31,23:1B:D4:9B:2E:14, , , ,-93, 
[TV]89,30-01-2020 19:31,84:C0:EF:36:FA:AD, , , ,-76, 
null,30-01-2020 19:31,0E:8A:CB:39:8C:C7, , , ,-100, 
[TV]89,30-01-2020 19:31,84:C0:EF:36:FA:AD, , , ,-77, 
null,30-01-2020 19:31,2F:19:97:46:85:89, , , ,-90, 
null,30-01-2020 19:31,06:5E:E1:88:9B:FC, , , ,-98, 
