01-01 05:56:12.239+0530 I/BLE_DEMO_TV(P 3601, T 3601): wireless_tagging_main.c:67 ----> RSSI CB: rssi -77, status 1, mac [54:B8:02:83:10:3A]
01-01 05:56:12.918+0530 I/BLE_DEMO_TV(P 3601, T 3601): wireless_tagging_main.c:67 ----> RSSI CB: rssi -82, status 1, mac [54:B8:02:83:10:3A]
01-01 05:56:13.607+0530 I/BLE_DEMO_TV(P 3601, T 3601): wireless_tagging_main.c:67 ----> RSSI CB: rssi -82, status 1, mac [54:B8:02:83:10:3A]
01-01 05:56:14.682+0530 I/BLE_DEMO_TV(P 3601, T 3601): wireless_tagging_main.c:67 ----> RSSI CB: rssi -78, status 1, mac [54:B8:02:83:10:3A]
01-01 05:56:15.768+0530 I/BLE_DEMO_TV(P 3601, T 3601): wireless_tagging_main.c:67 ----> RSSI CB: rssi -82, status 1, mac [54:B8:02:83:10:3A]
01-01 05:56:16.317+0530 I/BLE_DEMO_TV(P 3601, T 3601): wireless_tagging_main.c:67 ----> RSSI CB: rssi -79, status 1, mac [54:B8:02:83:10:3A]
01-01 05:56:16.844+0530 I/BLE_DEMO_TV(P 3601, T 3601): wireless_tagging_main.c:67 ----> RSSI CB: rssi -80, status 1, mac [54:B8:02:83:10:3A]
01-01 05:56:16.982+0530 I/BLE_DEMO_TV(P 3601, T 3601): wireless_tagging_main.c:67 ----> RSSI CB: rssi -77, status 1, mac [54:B8:02:83:10:3A]
01-01 05:56:17.114+0530 I/BLE_DEMO_TV(P 3601, T 3601): wireless_tagging_main.c:67 ----> RSSI CB: rssi -77, status 1, mac [54:B8:02:83:10:3A]
01-01 05:56:18.067+0530 I/BLE_DEMO_TV(P 3601, T 3601): wireless_tagging_main.c:67 ----> RSSI CB: rssi -76, status 1, mac [54:B8:02:83:10:3A]
01-01 05:56:19.015+0530 I/BLE_DEMO_TV(P 3601, T 3601): wireless_tagging_main.c:67 ----> RSSI CB: rssi -80, status 1, mac [54:B8:02:83:10:3A]
01-01 05:56:19.155+0530 I/BLE_DEMO_TV(P 3601, T 3601): wireless_tagging_main.c:67 ----> RSSI CB: rssi -81, status 1, mac [54:B8:02:83:10:3A]
01-01 05:56:21.341+0530 I/BLE_DEMO_TV(P 3601, T 3601): wireless_tagging_main.c:67 ----> RSSI CB: rssi -79, status 1, mac [54:B8:02:83:10:3A]
01-01 05:56:21.889+0530 I/BLE_DEMO_TV(P 3601, T 3601): wireless_tagging_main.c:67 ----> RSSI CB: rssi -80, status 1, mac [54:B8:02:83:10:3A]
01-01 05:56:22.433+0530 I/BLE_DEMO_TV(P 3601, T 3601): wireless_tagging_main.c:67 ----> RSSI CB: rssi -82, status 1, mac [54:B8:02:83:10:3A]
01-01 05:56:23.114+0530 I/BLE_DEMO_TV(P 3601, T 3601): wireless_tagging_main.c:67 ----> RSSI CB: rssi -83, status 1, mac [54:B8:02:83:10:3A]
01-01 05:56:23.651+0530 I/BLE_DEMO_TV(P 3601, T 3601): wireless_tagging_main.c:67 ----> RSSI CB: rssi -84, status 1, mac [54:B8:02:83:10:3A]
01-01 05:56:25.960+0530 I/BLE_DEMO_TV(P 3601, T 3601): wireless_tagging_main.c:67 ----> RSSI CB: rssi -81, status 1, mac [54:B8:02:83:10:3A]
01-01 05:56:26.519+0530 I/BLE_DEMO_TV(P 3601, T 3601): wireless_tagging_main.c:67 ----> RSSI CB: rssi -81, status 1, mac [54:B8:02:83:10:3A]
01-01 05:56:26.653+0530 I/BLE_DEMO_TV(P 3601, T 3601): wireless_tagging_main.c:67 ----> RSSI CB: rssi -80, status 1, mac [54:B8:02:83:10:3A]
01-01 05:56:27.614+0530 I/BLE_DEMO_TV(P 3601, T 3601): wireless_tagging_main.c:67 ----> RSSI CB: rssi -83, status 1, mac [54:B8:02:83:10:3A]
01-01 05:56:28.150+0530 I/BLE_DEMO_TV(P 3601, T 3601): wireless_tagging_main.c:67 ----> RSSI CB: rssi -79, status 1, mac [54:B8:02:83:10:3A]
01-01 05:56:30.327+0530 I/BLE_DEMO_TV(P 3601, T 3601): wireless_tagging_main.c:67 ----> RSSI CB: rssi -79, status 1, mac [54:B8:02:83:10:3A]
01-01 05:56:31.553+0530 I/BLE_DEMO_TV(P 3601, T 3601): wireless_tagging_main.c:67 ----> RSSI CB: rssi -75, status 1, mac [54:B8:02:83:10:3A]
01-01 05:56:32.108+0530 I/BLE_DEMO_TV(P 3601, T 3601): wireless_tagging_main.c:67 ----> RSSI CB: rssi -74, status 1, mac [54:B8:02:83:10:3A]
01-01 05:56:32.515+0530 I/BLE_DEMO_TV(P 3601, T 3601): wireless_tagging_main.c:67 ----> RSSI CB: rssi -76, status 1, mac [54:B8:02:83:10:3A]
01-01 05:56:34.289+0530 I/BLE_DEMO_TV(P 3601, T 3601): wireless_tagging_main.c:67 ----> RSSI CB: rssi -79, status 1, mac [54:B8:02:83:10:3A]
01-01 05:56:34.981+0530 I/BLE_DEMO_TV(P 3601, T 3601): wireless_tagging_main.c:67 ----> RSSI CB: rssi -83, status 1, mac [54:B8:02:83:10:3A]
01-01 05:56:35.521+0530 I/BLE_DEMO_TV(P 3601, T 3601): wireless_tagging_main.c:67 ----> RSSI CB: rssi -81, status 1, mac [54:B8:02:83:10:3A]
01-01 05:56:36.062+0530 I/BLE_DEMO_TV(P 3601, T 3601): wireless_tagging_main.c:67 ----> RSSI CB: rssi -78, status 1, mac [54:B8:02:83:10:3A]
01-01 05:56:36.611+0530 I/BLE_DEMO_TV(P 3601, T 3601): wireless_tagging_main.c:67 ----> RSSI CB: rssi -75, status 1, mac [54:B8:02:83:10:3A]
