Name,Time,MAC Address,UUID,Major,Minor,RSSI,Scanned Data
null,2019/12/16 14:28:52,3C:A1:CA:4D:C6:36, , , ,-90, 
null,2019/12/16 14:28:52,3B:35:E1:04:B6:03, , , ,-80, 
null,2019/12/16 14:28:52,17:1A:FA:3A:CF:B8, , , ,-89, 
null,2019/12/16 14:28:52,12:54:71:5C:24:16, , , ,-85, 
null,2019/12/16 14:28:52,39:AE:7E:6B:66:2E, , , ,-74, 
null,2019/12/16 14:28:52,32:03:30:0F:87:2C, , , ,-80, 
Mi Band 3,2019/12/16 14:28:52,C9:F2:EB:EB:B1:6E, , , ,-58, 
null,2019/12/16 14:28:52,36:80:1B:95:28:E2, , , ,-96, 
null,2019/12/16 14:28:52,3C:A1:CA:4D:C6:36, , , ,-90, 
null,2019/12/16 14:28:52,4C:55:59:19:70:03, , , ,-90, 
null,2019/12/16 14:28:52,17:1A:FA:3A:CF:B8, , , ,-88, 
null,2019/12/16 14:28:52,12:54:71:5C:24:16, , , ,-89, 
null,2019/12/16 14:28:52,39:AE:7E:6B:66:2E, , , ,-73, 
null,2019/12/16 14:28:52,3D:01:EB:AD:FB:1F, , , ,-95, 
null,2019/12/16 14:28:52,3C:A1:CA:4D:C6:36, , , ,-90, 
null,2019/12/16 14:28:52,3B:35:E1:04:B6:03, , , ,-80, 
null,2019/12/16 14:28:52,17:1A:FA:3A:CF:B8, , , ,-89, 
null,2019/12/16 14:28:52,12:54:71:5C:24:16, , , ,-87, 
null,2019/12/16 14:28:52,32:03:30:0F:87:2C, , , ,-87, 
null,2019/12/16 14:28:52,39:AE:7E:6B:66:2E, , , ,-74, 
null,2019/12/16 14:28:52,3D:01:EB:AD:FB:1F, , , ,-97, 
null,2019/12/16 14:28:52,36:80:1B:95:28:E2, , , ,-96, 
null,2019/12/16 14:28:52,3C:A1:CA:4D:C6:36, , , ,-91, 
null,2019/12/16 14:28:52,3B:35:E1:04:B6:03, , , ,-82, 
null,2019/12/16 14:28:52,17:1A:FA:3A:CF:B8, , , ,-88, 
null,2019/12/16 14:28:52,12:54:71:5C:24:16, , , ,-85, 
null,2019/12/16 14:28:52,32:03:30:0F:87:2C, , , ,-104, 
null,2019/12/16 14:28:52,4C:55:59:19:70:03, , , ,-90, 
null,2019/12/16 14:28:52,36:80:1B:95:28:E2, , , ,-98, 
null,2019/12/16 14:28:52,3C:A1:CA:4D:C6:36, , , ,-91, 
null,2019/12/16 14:28:52,3B:35:E1:04:B6:03, , , ,-80, 
null,2019/12/16 14:28:52,17:1A:FA:3A:CF:B8, , , ,-89, 
null,2019/12/16 14:28:52,12:54:71:5C:24:16, , , ,-85, 
null,2019/12/16 14:28:52,32:03:30:0F:87:2C, , , ,-96, 
null,2019/12/16 14:28:52,39:AE:7E:6B:66:2E, , , ,-73, 
null,2019/12/16 14:28:56,39:AE:7E:6B:66:2E, , , ,-82, 
null,2019/12/16 14:28:56,3C:A1:CA:4D:C6:36, , , ,-95, 
null,2019/12/16 14:28:56,3B:35:E1:04:B6:03, , , ,-80, 
null,2019/12/16 14:28:56,36:80:1B:95:28:E2, , , ,-92, 
null,2019/12/16 14:28:56,17:1A:FA:3A:CF:B8, , , ,-84, 
null,2019/12/16 14:28:56,3D:01:EB:AD:FB:1F, , , ,-92, 
null,2019/12/16 14:28:56,12:54:71:5C:24:16, , , ,-88, 
null,2019/12/16 14:28:56,32:03:30:0F:87:2C, , , ,-82, 
null,2019/12/16 14:28:56,3C:A1:CA:4D:C6:36, , , ,-95, 
null,2019/12/16 14:28:56,39:AE:7E:6B:66:2E, , , ,-81, 
null,2019/12/16 14:28:56,3B:35:E1:04:B6:03, , , ,-80, 
null,2019/12/16 14:28:56,17:1A:FA:3A:CF:B8, , , ,-83, 
honor Band 4-BD8,2019/12/16 14:28:56,D0:16:B4:E1:2B:D8, , , ,-88, 
null,2019/12/16 14:28:56,12:54:71:5C:24:16, , , ,-88, 
null,2019/12/16 14:28:56,32:03:30:0F:87:2C, , , ,-78, 
Beoplay H4,2019/12/16 14:28:56,00:09:A7:44:80:61, , , ,-89, 
null,2019/12/16 14:28:56,3C:A1:CA:4D:C6:36, , , ,-94, 
null,2019/12/16 14:28:56,17:1A:FA:3A:CF:B8, , , ,-83, 
null,2019/12/16 14:28:56,12:54:71:5C:24:16, , , ,-86, 
null,2019/12/16 14:28:56,3C:A1:CA:4D:C6:36, , , ,-94, 
null,2019/12/16 14:28:56,39:AE:7E:6B:66:2E, , , ,-81, 
